,index,ak,function,function_name,arkouda_api_link
0,0,arkouda.client,client,client,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.client
1,1,arkouda.array_view,array_view,array_view,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_view
2,2,arkouda.categorical,categorical,categorical,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical
3,3,arkouda.categorical.Categorical,categorical.Categorical,Categorical,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical
4,4,arkouda.Strings,Strings,Strings,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.Strings
5,6,arkouda.pdarray,pdarray,pdarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarray
6,11,arkouda.categorical.Categorical.register,categorical.Categorical.register,register,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.register
7,12,arkouda.categorical.Categorical.is_registered,categorical.Categorical.is_registered,is_registered,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.is_registered
8,13,arkouda.categorical.Categorical.unregister,categorical.Categorical.unregister,unregister,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.unregister
9,14,arkouda.categorical.Categorical.unregister_categorical_by_name,categorical.Categorical.unregister_categorical_by_name,unregister_categorical_by_name,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.unregister_categorical_by_name
10,19,arkouda.pdarrayclass.pdarray,pdarrayclass.pdarray,pdarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray
11,21,arkouda.categorical.Categorical.startswith,categorical.Categorical.startswith,startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.startswith
12,22,arkouda.categorical.Categorical.endswith,categorical.Categorical.endswith,endswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.endswith
13,26,arkouda.categorical.Categorical.contains,categorical.Categorical.contains,contains,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.contains
14,28,arkouda.strings.Strings,strings.Strings,Strings,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings
15,38,arkouda.categorical.Categorical.unique,categorical.Categorical.unique,unique,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.unique
16,50,arkouda.RegistrationError,RegistrationError,RegistrationError,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.RegistrationError
17,52,arkouda.categorical.Categorical.attach,categorical.Categorical.attach,attach,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.attach
18,58,arkouda.categorical.Categorical.save,categorical.Categorical.save,save,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.save
