,function_np,total_np_calls,num_arkouda_funs_used_by,used_by_arkouda
0,nan,1045,943,True
1,dtype,21,16,True
2,float64,38,13,True
3,array,14,11,True
4,bool_,24,10,True
5,ndarray,20,10,True
6,int64,17,10,True
7,isscalar,9,8,True
8,uint64,9,5,True
9,can_cast,4,4,True
10,str_,4,4,True
11,datetime64,3,3,True
12,frombuffer,4,2,True
13,pi,4,2,True
14,log,3,2,True
15,add,2,2,True
16,cumsum,2,2,True
17,get_printoptions,2,2,True
18,sqrt,2,2,True
19,timedelta64,2,2,True
20,uint,2,2,True
21,random.randn,4,1,True
22,bool,2,1,True
23,datetime_data,2,1,True
24,float_,2,1,True
25,str,2,1,True
26,arccos,1,1,True
27,arctan,1,1,True
28,argmax,1,1,True
29,argmin,1,1,True
30,bitwise_and,1,1,True
31,bitwise_or,1,1,True
32,bitwise_xor,1,1,True
33,broadcast_arrays,1,1,True
34,ceil,1,1,True
35,conj,1,1,True
36,cos,1,1,True
37,cosh,1,1,True
38,diff,1,1,True
39,divide,1,1,True
40,empty,1,1,True
41,equal,1,1,True
42,exp,1,1,True
43,expand_dims,1,1,True
44,expm1,1,1,True
45,flip,1,1,True
46,float32,1,1,True
47,floor,1,1,True
48,floor_divide,1,1,True
49,fmod,1,1,True
50,greater,1,1,True
51,greater_equal,1,1,True
52,hstack,1,1,True
53,iinfo,1,1,True
54,imag,1,1,True
55,invert,1,1,True
56,isfinite,1,1,True
57,isinf,1,1,True
58,isnan,1,1,True
59,left_shift,1,1,True
60,less,1,1,True
61,less_equal,1,1,True
62,linspace,1,1,True
63,log10,1,1,True
64,log1p,1,1,True
65,log2,1,1,True
66,logaddexp,1,1,True
67,logical_and,1,1,True
68,logical_not,1,1,True
69,logical_or,1,1,True
70,logical_xor,1,1,True
71,mod,1,1,True
72,multiply,1,1,True
73,negative,1,1,True
74,nonzero,1,1,True
75,not_equal,1,1,True
76,positive,1,1,True
77,power,1,1,True
78,random.choice,1,1,True
79,random.randint,1,1,True
80,random.uniform,1,1,True
81,real,1,1,True
82,remainder,1,1,True
83,result_type,1,1,True
84,right_shift,1,1,True
85,round,1,1,True
86,sign,1,1,True
87,sin,1,1,True
88,sinh,1,1,True
89,square,1,1,True
90,squeeze,1,1,True
91,stack,1,1,True
92,subtract,1,1,True
93,sum,1,1,True
94,take,1,1,True
95,tan,1,1,True
96,tanh,1,1,True
97,transpose,1,1,True
98,trunc,1,1,True
99,uint8,1,1,True
100,unique,1,1,True
101,where,1,1,True
