,index,networkx_function,num_np_calls,np_calls,np_calls_w_args
0,4381,/linalg/tests/test_laplacian.py_test_normalized_laplacian,18,"['array', 'array', 'array', 'array', 'array', 'array', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal']",[]
1,4380,/linalg/tests/test_laplacian.py_test_laplacian,16,"['array', 'array', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'array', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'array', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(nx.laplacian_matrix(self.G).todense(), NL)', 'testing.assert_equal(nx.laplacian_matrix(self.MG).todense(), NL)', 'array([[1, -1], [-1, 1]])', 'testing.assert_equal(nx.laplacian_matrix(self.WG).todense(), WL)', 'testing.assert_equal(nx.laplacian_matrix(self.WG, weight=None).todense(), NL)', 'testing.assert_equal(nx.laplacian_matrix(self.DiG).todense(), DiNL)', 'testing.assert_equal(nx.laplacian_matrix(self.DiMG).todense(), DiNL)', 'array([[1, -1], [0, 0]])', 'testing.assert_equal(nx.laplacian_matrix(self.DiWG).todense(), DiWL)']"
2,5730,/readwrite/graphml.py_construct_types,15,"['float64', 'float32', 'float16', 'int_', 'int8', 'int16', 'int32', 'int64', 'uint8', 'uint16', 'uint32', 'uint64', 'int_', 'intc', 'intp']",[]
3,5781,/readwrite/gexf.py_construct_types,15,"['float64', 'float32', 'float16', 'int_', 'int8', 'int16', 'int32', 'int64', 'uint8', 'uint16', 'uint32', 'uint64', 'int_', 'intc', 'intp']",[]
4,4330,/linalg/tests/test_graphmatrix.py_test_incidence_matrix,11,"['testing.assert_equal', 'testing.assert_equal', 'abs', 'testing.assert_equal', 'testing.assert_equal', 'abs', 'testing.assert_equal', 'testing.assert_equal', 'abs', 'uint8', 'uint8']","['testing.assert_equal(I, self.OI)', 'testing.assert_equal(I, np.abs(self.OI))', 'testing.assert_equal(I, self.OI)', 'testing.assert_equal(I, np.abs(self.OI))', 'testing.assert_equal(I, self.MGOI)', 'testing.assert_equal(I, np.abs(self.MGOI))']"
5,58,/drawing/layout.py__kamada_kawai_costfn,11,"['newaxis', 'newaxis', 'linalg.norm', 'einsum', 'eye', 'diag_indices', 'sum', 'einsum', 'einsum', 'sum', 'sum']","['linalg.norm(delta, axis=-1)', 'einsum(""ijk,ij->ijk"", delta, 1 / (nodesep + np.eye(nNodes) * 1e-3))', 'diag_indices(nNodes)', 'sum(offset**2)', 'einsum(""ij,ij,ijk->ik"", invdist, offset, direction)', 'sum(pos_arr, axis=0)', 'sum(sumpos**2)']"
6,4331,/linalg/tests/test_graphmatrix.py_test_weighted_incidence_matrix,11,"['testing.assert_equal', 'testing.assert_equal', 'abs', 'testing.assert_equal', 'testing.assert_equal', 'abs', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'abs', 'testing.assert_equal']","['testing.assert_equal(I, self.OI)', 'testing.assert_equal(I, np.abs(self.OI))', 'testing.assert_equal(I, 0.5 * self.OI)', 'testing.assert_equal(I, np.abs(0.5 * self.OI))', 'testing.assert_equal(I, 0.3 * self.OI)', 'testing.assert_equal(I, 0.5 * self.MGOI)', 'testing.assert_equal(I, np.abs(0.5 * self.MGOI))', 'testing.assert_equal(I, 0.3 * self.MGOI)']"
7,6123,/generators/spectral_graph_forge.py_spectral_graph_forge,10,"['clip', 'ones', 'linalg.eigh', 'argsort', 'abs', 'arange', 'diag', 'clip', 'fill_diagonal', 'transpose']","['clip(alpha, 0, 1)', 'ones((1, n))', 'linalg.eigh(B)', 'argsort(np.abs(evals))', 'arange(level, n)', 'diag(evals)', 'clip(B, 0, 1)', 'fill_diagonal(B, 0)', 'transpose(B[i, i + 1 :])']"
8,4343,/linalg/tests/test_attrmatrix.py_test_attr_matrix_multigraph,9,"['array', 'testing.assert_equal', 'array', 'array', 'testing.assert_equal', 'array', 'array', 'testing.assert_equal', 'array']","['testing.assert_equal(M, np.array(data))', 'testing.assert_equal(M, np.array(data))', 'testing.assert_equal(M, np.array(data))']"
9,4332,/linalg/tests/test_graphmatrix.py_test_adjacency_matrix,9,"['testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(nx.adjacency_matrix(self.G).todense(), self.A)', 'testing.assert_equal(nx.adjacency_matrix(self.MG).todense(), self.A)', 'testing.assert_equal(nx.adjacency_matrix(self.MG2).todense(), self.MG2A)', 'testing.assert_equal(nx.adjacency_matrix(self.WG).todense(), self.WA)']"
10,4383,/linalg/tests/test_laplacian.py_test_directed_combinatorial_laplacian,8,"['array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal']","['testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, expected, decimal=6)']"
11,63,/drawing/layout.py_spiral_layout,8,"['cos', 'sin', 'arange', 'transpose', 'array', 'cos', 'sin', 'array']","['cos(theta) * r, np.sin(theta) * r])', 'arange(len(G), dtype=float)', 'transpose(dist * np.array([np.cos(angle), np.sin(angle)]))', 'array(pos), scale=scale)']"
12,4382,/linalg/tests/test_laplacian.py_test_directed_laplacian,8,"['array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal']","['testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, GL, decimal=3)', 'testing.assert_almost_equal(L, GL, decimal=3)']"
13,848,/algorithms/centrality/tests/test_trophic.py_test_trophic_levels_levine,8,"['array', 'array_equal', 'eye', 'linalg.inv', 'asarray', 'ones', 'array', 'allclose']","['array_equal(q.todense(), expected_q)', 'eye(nn)', 'linalg.inv(i - q)', 'asarray(n) @ np.ones(nn)', 'array([1, 2.07906977, 1.46511628, 2.3255814])', 'allclose(y, expected_y)']"
14,50,/drawing/layout.py_circular_layout,7,"['linspace', 'pi', 'float32', 'column_stack', 'cos', 'sin', 'zeros']","['linspace(0, 1, len(G) + 1)', 'cos(theta), np.sin(theta), np.zeros((len(G), paddims))']"
15,513,/algorithms/smallworld.py_lattice_reference,7,"['zeros', 'arange', 'arange', 'append', 'where', 'ceil', 'append']","['zeros((nnodes, nnodes))', 'arange(1, nnodes)', 'arange(nnodes - 1, 0, -1)', 'append((0,), np.where(un < um, un, um))', 'ceil(nnodes / 2)))', 'append(u[v + 1 :], u[: v + 1])']"
16,51,/drawing/layout.py_shell_layout,7,"['pi', 'linspace', 'pi', 'float32', 'column_stack', 'cos', 'sin']","['linspace(0, 2 * np.pi, len(nodes), endpoint=False, dtype=np.float32)', 'column_stack([np.cos(theta), np.sin(theta)])']"
17,4540,/utils/tests/test_decorators.py_test_random_state_np_random_RandomState,7,"['random.seed', 'random.random_sample', 'random.seed', 'random.RandomState', 'random.RandomState', 'random.RandomState', 'random.random_sample']","['random.seed(42)', 'random.random_sample()', 'random.seed(42)', 'random.RandomState(seed)', 'random.RandomState(seed).rand()', 'random.RandomState(seed).rand()', 'random.random_sample()']"
18,67,/drawing/layout.py_rescale_layout_dict,7,"['array', 'array', 'array', 'array', 'array', 'array', 'array']","['array((0, 0)), 1: np.array((1, 1)), 2: np.array((0.5, 0.5))', 'array((0, 0)), 1: np.array((-1, 1)), 2: np.array((-0.5, 0.5))', 'array(list(pos.values()))']"
