networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/approximation/clique.py__clique_heuristic,1.0,0,0,[],[]
/algorithms/approximation/clique.py_clique_removal,1.0,0,0,[],[]
/algorithms/approximation/clique.py_large_clique_size,1.0,0,0,[],[]
/algorithms/approximation/clique.py_max_clique,1.0,0,0,[],[]
/algorithms/approximation/clique.py_maximum_independent_set,1.0,0,0,[],[]
/algorithms/approximation/clustering_coefficient.py_average_clustering,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py__bidirectional_pred_succ,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py__bidirectional_shortest_path,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py_all_pairs_node_connectivity,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py_local_node_connectivity,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py_neighbors,1.0,0,0,[],[]
/algorithms/approximation/connectivity.py_node_connectivity,1.0,0,0,[],[]
/algorithms/approximation/distance_measures.py__two_sweep_directed,1.0,0,0,[],[]
/algorithms/approximation/distance_measures.py__two_sweep_undirected,1.0,0,0,[],[]
/algorithms/approximation/distance_measures.py_diameter,1.0,0,0,[],[]
/algorithms/approximation/dominating_set.py__cost,1.0,0,0,[],[]
/algorithms/approximation/dominating_set.py_min_edge_dominating_set,1.0,0,0,[],[]
/algorithms/approximation/dominating_set.py_min_weighted_dominating_set,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py_AntiAdjacencyView,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py_AntiAtlasView,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py_AntiDegreeView,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py___getitem__,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py___init__,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py___iter__,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py___len__,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py__cliques_heuristic,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py__same,1.0,0,0,[],[]
/algorithms/approximation/kcomponents.py_adj,1.0,0,0,[],[]
