,np,function,function_name,numpy_api_link
0,numpy.absolute,absolute,absolute,https://numpy.org/doc/stable/reference/generated/numpy.absolute.html
1,numpy.add,add,add,https://numpy.org/doc/stable/reference/generated/numpy.add.html
2,numpy.all,all,all,https://numpy.org/doc/stable/reference/generated/numpy.all.html
3,numpy.allclose,allclose,allclose,https://numpy.org/doc/stable/reference/generated/numpy.allclose.html
4,numpy.amax,amax,amax,https://numpy.org/doc/stable/reference/generated/numpy.amax.html
5,numpy.amin,amin,amin,https://numpy.org/doc/stable/reference/generated/numpy.amin.html
6,numpy.angle,angle,angle,https://numpy.org/doc/stable/reference/generated/numpy.angle.html
7,numpy.any,any,any,https://numpy.org/doc/stable/reference/generated/numpy.any.html
8,numpy.append,append,append,https://numpy.org/doc/stable/reference/generated/numpy.append.html
9,numpy.apply_along_axis,apply_along_axis,apply_along_axis,https://numpy.org/doc/stable/reference/generated/numpy.apply_along_axis.html
10,numpy.apply_over_axes,apply_over_axes,apply_over_axes,https://numpy.org/doc/stable/reference/generated/numpy.apply_over_axes.html
11,numpy.arange,arange,arange,https://numpy.org/doc/stable/reference/generated/numpy.arange.html
12,numpy.arccos,arccos,arccos,https://numpy.org/doc/stable/reference/generated/numpy.arccos.html
13,numpy.arccosh,arccosh,arccosh,https://numpy.org/doc/stable/reference/generated/numpy.arccosh.html
14,numpy.arcsin,arcsin,arcsin,https://numpy.org/doc/stable/reference/generated/numpy.arcsin.html
15,numpy.arcsinh,arcsinh,arcsinh,https://numpy.org/doc/stable/reference/generated/numpy.arcsinh.html
16,numpy.arctan,arctan,arctan,https://numpy.org/doc/stable/reference/generated/numpy.arctan.html
17,numpy.arctan2,arctan2,arctan2,https://numpy.org/doc/stable/reference/generated/numpy.arctan2.html
18,numpy.arctanh,arctanh,arctanh,https://numpy.org/doc/stable/reference/generated/numpy.arctanh.html
19,numpy.argmax,argmax,argmax,https://numpy.org/doc/stable/reference/generated/numpy.argmax.html
20,numpy.argmin,argmin,argmin,https://numpy.org/doc/stable/reference/generated/numpy.argmin.html
21,numpy.argpartition,argpartition,argpartition,https://numpy.org/doc/stable/reference/generated/numpy.argpartition.html
22,numpy.argsort,argsort,argsort,https://numpy.org/doc/stable/reference/generated/numpy.argsort.html
23,numpy.argwhere,argwhere,argwhere,https://numpy.org/doc/stable/reference/generated/numpy.argwhere.html
24,numpy.around,around,around,https://numpy.org/doc/stable/reference/generated/numpy.around.html
25,numpy.array,array,array,https://numpy.org/doc/stable/reference/generated/numpy.array.html
26,numpy.array_equal,array_equal,array_equal,https://numpy.org/doc/stable/reference/generated/numpy.array_equal.html
27,numpy.array_equiv,array_equiv,array_equiv,https://numpy.org/doc/stable/reference/generated/numpy.array_equiv.html
28,numpy.array_repr,array_repr,array_repr,https://numpy.org/doc/stable/reference/generated/numpy.array_repr.html
29,numpy.array_split,array_split,array_split,https://numpy.org/doc/stable/reference/generated/numpy.array_split.html
30,numpy.array_str,array_str,array_str,https://numpy.org/doc/stable/reference/generated/numpy.array_str.html
31,numpy.array2string,array2string,array2string,https://numpy.org/doc/stable/reference/generated/numpy.array2string.html
32,numpy.asanyarray,asanyarray,asanyarray,https://numpy.org/doc/stable/reference/generated/numpy.asanyarray.html
34,numpy.asarray,asarray,asarray,https://numpy.org/doc/stable/reference/generated/numpy.asarray.html
36,numpy.asarray_chkfinite,asarray_chkfinite,asarray_chkfinite,https://numpy.org/doc/stable/reference/generated/numpy.asarray_chkfinite.html
37,numpy.ascontiguousarray,ascontiguousarray,ascontiguousarray,https://numpy.org/doc/stable/reference/generated/numpy.ascontiguousarray.html
39,numpy.asfarray,asfarray,asfarray,https://numpy.org/doc/stable/reference/generated/numpy.asfarray.html
40,numpy.asfortranarray,asfortranarray,asfortranarray,https://numpy.org/doc/stable/reference/generated/numpy.asfortranarray.html
41,numpy.asmatrix,asmatrix,asmatrix,https://numpy.org/doc/stable/reference/generated/numpy.asmatrix.html
43,numpy.atleast_1d,atleast_1d,atleast_1d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_1d.html
44,numpy.atleast_2d,atleast_2d,atleast_2d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_2d.html
45,numpy.atleast_3d,atleast_3d,atleast_3d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_3d.html
46,numpy.average,average,average,https://numpy.org/doc/stable/reference/generated/numpy.average.html
47,numpy.bartlett,bartlett,bartlett,https://numpy.org/doc/stable/reference/generated/numpy.bartlett.html
48,numpy.base_repr,base_repr,base_repr,https://numpy.org/doc/stable/reference/generated/numpy.base_repr.html
49,numpy.binary_repr,binary_repr,binary_repr,https://numpy.org/doc/stable/reference/generated/numpy.binary_repr.html
51,numpy.bincount,bincount,bincount,https://numpy.org/doc/stable/reference/generated/numpy.bincount.html
52,numpy.bitwise_and,bitwise_and,bitwise_and,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_and.html
53,numpy.bitwise_or,bitwise_or,bitwise_or,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_or.html
54,numpy.bitwise_xor,bitwise_xor,bitwise_xor,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_xor.html
55,numpy.blackman,blackman,blackman,https://numpy.org/doc/stable/reference/generated/numpy.blackman.html
56,numpy.block,block,block,https://numpy.org/doc/stable/reference/generated/numpy.block.html
57,numpy.bmat,bmat,bmat,https://numpy.org/doc/stable/reference/generated/numpy.bmat.html
58,numpy.bool_,bool_,bool_,https://numpy.org/doc/stable/reference/generated/numpy.bool_.html
59,numpy.broadcast,broadcast,broadcast,https://numpy.org/doc/stable/reference/generated/numpy.broadcast.html
60,numpy.broadcast_arrays,broadcast_arrays,broadcast_arrays,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_arrays.html
61,numpy.broadcast_shapes,broadcast_shapes,broadcast_shapes,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_shapes.html
62,numpy.broadcast_to,broadcast_to,broadcast_to,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_to.html
63,numpy.busday_count,busday_count,busday_count,https://numpy.org/doc/stable/reference/generated/numpy.busday_count.html
64,numpy.busday_offset,busday_offset,busday_offset,https://numpy.org/doc/stable/reference/generated/numpy.busday_offset.html
65,numpy.busdaycalendar,busdaycalendar,busdaycalendar,https://numpy.org/doc/stable/reference/generated/numpy.busdaycalendar.html
66,numpy.byte,byte,byte,https://numpy.org/doc/stable/reference/generated/numpy.byte.html
67,numpy.byte_bounds,byte_bounds,byte_bounds,https://numpy.org/doc/stable/reference/generated/numpy.byte_bounds.html
68,numpy.c_,c_,c_,https://numpy.org/doc/stable/reference/generated/numpy.c_.html
69,numpy.can_cast,can_cast,can_cast,https://numpy.org/doc/stable/reference/generated/numpy.can_cast.html
70,numpy.cbrt,cbrt,cbrt,https://numpy.org/doc/stable/reference/generated/numpy.cbrt.html
71,numpy.cdouble,cdouble,cdouble,https://numpy.org/doc/stable/reference/generated/numpy.cdouble.html
73,numpy.ceil,ceil,ceil,https://numpy.org/doc/stable/reference/generated/numpy.ceil.html
74,numpy.cfloat,cfloat,cfloat,https://numpy.org/doc/stable/reference/generated/numpy.cfloat.html
75,numpy.char.add,char.add,add,https://numpy.org/doc/stable/reference/generated/numpy.char.add.html
76,numpy.char.array,char.array,array,https://numpy.org/doc/stable/reference/generated/numpy.char.array.html
77,numpy.char.asarray,char.asarray,asarray,https://numpy.org/doc/stable/reference/generated/numpy.char.asarray.html
78,numpy.char.capitalize,char.capitalize,capitalize,https://numpy.org/doc/stable/reference/generated/numpy.char.capitalize.html
79,numpy.char.center,char.center,center,https://numpy.org/doc/stable/reference/generated/numpy.char.center.html
80,numpy.char.chararray,char.chararray,chararray,https://numpy.org/doc/stable/reference/generated/numpy.char.chararray.html
