,index,pandas_function,num_np_calls,np_calls,np_calls_w_args
0,9362,/tests/series/methods/test_interpolate.py_test_interp_limit_area,43,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",[]
1,18388,/tests/dtypes/test_missing.py_test_array_equivalent,42,"['array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'array', 'nan', 'array', 'array', 'nan', 'array', 'array', 'nan', 'array', 'nan', 'array', 'nan', 'array', 'nan', 'array', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'array', 'nan', 'nan', 'nan', 'nan']","['array([np.nan, np.nan]), np.array([np.nan, np.nan])', 'array([np.nan, 1, np.nan])', 'array([np.nan, 1, np.nan])', 'array([np.nan, None], dtype=""object"")', 'array([np.nan, None], dtype=""object"")', 'array([np.array([np.nan, None], dtype=""object""), None], dtype=""object"")', 'array([np.array([np.nan, None], dtype=""object""), None], dtype=""object"")', 'array([np.nan, 1 + 1j], dtype=""complex"")', 'array([np.nan, 1 + 1j], dtype=""complex"")', 'array([np.nan, 1 + 1j], dtype=""complex"")', 'array([np.nan, 1 + 2j], dtype=""complex"")', 'array([np.nan, 1, np.nan])', 'array([np.nan, 2, np.nan])', 'array([""a"", ""b"", ""c"", ""d""]), np.array([""e"", ""e""])']"
2,18591,/tests/dtypes/test_inference.py_test_infer_dtype_all_nan_nat_like,39,"['array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'array', 'nan', 'array', 'nan', 'array', 'nan', 'nan', 'array', 'array', 'datetime64', 'nan', 'array', 'datetime64', 'array', 'datetime64', 'array', 'timedelta64', 'nan', 'array', 'timedelta64', 'array', 'timedelta64', 'array', 'datetime64', 'timedelta64', 'nan', 'array', 'timedelta64', 'datetime64']","['array([np.nan, np.nan])', 'array([np.nan, np.nan, None])', 'array([None, np.nan, np.nan])', 'array([pd.NaT])', 'array([pd.NaT, np.nan])', 'array([np.nan, pd.NaT])', 'array([np.nan, pd.NaT, np.nan])', 'array([None, pd.NaT, None])', 'array([np.datetime64(""nat"")])', 'array([n, np.datetime64(""nat""), n])', 'array([pd.NaT, n, np.datetime64(""nat""), n])', 'array([np.timedelta64(""nat"")], dtype=object)', 'array([n, np.timedelta64(""nat""), n])', 'array([pd.NaT, n, np.timedelta64(""nat""), n])', 'array([pd.NaT, np.datetime64(""nat""), np.timedelta64(""nat""), np.nan])', 'array([np.timedelta64(""nat""), np.datetime64(""nat"")], dtype=object)']"
3,25790,/core/dtypes/cast.py__maybe_promote,38,"['dtype', 'nan', 'nan', 'datetime64', 'timedelta64', 'datetime_data', 'bool_', 'dtype', 'object_', 'integer', 'dtype', 'float64', 'min_scalar_type', 'min_scalar_type', 'promote_types', 'bool_', 'dtype', 'object_', 'bool_', 'dtype', 'object_', 'integer', 'min_scalar_type', 'promote_types', 'dtype', 'object_', 'bool_', 'dtype', 'object_', 'integer', 'floating', 'min_scalar_type', 'promote_types', 'min_scalar_type', 'dtype', 'object_', 'dtype', 'object_']","['datetime_data(dtype)', 'dtype(np.object_)', 'dtype(np.float64)', 'min_scalar_type(fill_value)', 'min_scalar_type(fill_value)', 'promote_types(dtype, mst)', 'dtype(np.object_)', 'dtype(np.object_)', 'min_scalar_type(fill_value)', 'promote_types(dtype, mst)', 'dtype(np.object_)', 'dtype(np.object_)', 'min_scalar_type(fill_value)', 'promote_types(dtype, mst)', 'min_scalar_type(fill_value)', 'dtype(np.object_)', 'dtype(np.object_)']"
4,19470,/tests/plotting/frame/test_frame.py_test_hist_df_coord,36,"['array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array']","['array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([0, 0, 0, 0, 0])', 'array([8, 8, 8, 8, 8])', 'array([0, 0, 0, 0, 0])', 'array([6, 7, 8, 9, 10])', 'array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([10, 9, 8, 7, 6])', 'array([8, 8, 8, 8, 8])', 'array([18, 17, 16, 15, 14])', 'array([6, 7, 8, 9, 10])', 'array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([0, 0, 0, 0, 0])', 'array([8, 8, 8, 8, 8])', 'array([0, 0, 0, 0, 0])', 'array([6, 7, 8, 9, 10])', 'array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([0, 0, 0, 0, 0])', 'array([8, 8, 8, 8, 8])', 'array([0, 0, 0, 0, 0])', 'array([6, 7, 8, 9, 10])', 'array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([10, 9, 8, 7, 6])', 'array([8, 8, 8, 8, 8])', 'array([18, 17, 16, 15, 14])', 'array([6, 7, 8, 9, 10])', 'array([0, 0, 0, 0, 0])', 'array([10, 9, 8, 7, 6])', 'array([0, 0, 0, 0, 0])', 'array([8, 8, 8, 8, 8])', 'array([0, 0, 0, 0, 0])', 'array([6, 7, 8, 9, 10])']"
5,3374,/tests/arrays/sparse/test_libsparse.py_test_lookup_array,36,"['array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32']","['array([2, 3], dtype=np.int32), kind=kind)', 'array([-1, 0, 2], dtype=np.int32))', 'array([-1, -1, 0], dtype=np.int32)', 'array([4, 2, 1, 3], dtype=np.int32))', 'array([-1, 0, -1, 1], dtype=np.int32)', 'array([], dtype=np.int32), kind=kind)', 'array([-1, 0, 2, 4], dtype=np.int32))', 'array([-1, -1, -1, -1], dtype=np.int32)', 'array([0, 1, 2, 3], dtype=np.int32), kind=kind)', 'array([-1, 0, 2], dtype=np.int32))', 'array([-1, 0, 2], dtype=np.int32)', 'array([4, 2, 1, 3], dtype=np.int32))', 'array([-1, 2, 1, 3], dtype=np.int32)', 'array([0, 2, 3], dtype=np.int32), kind=kind)', 'array([2, 1, 3, 0], dtype=np.int32))', 'array([1, -1, 2, 0], dtype=np.int32)', 'array([1, 4, 2, 5], dtype=np.int32))', 'array([-1, -1, 1, -1], dtype=np.int32)']"
6,11393,/tests/window/test_win_type.py_test_cmov_window_regular,33,"['array', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['array([6.95, 15.21, 4.72, 9.12, 13.81, 13.49, 16.68, 9.48, 10.63, 14.48])']"
7,10984,/tests/strings/test_find_replace.py_test_find,31,"['int64', 'array', 'array', 'int64', 'array', 'int64', 'array', 'array', 'int64', 'array', 'int64', 'array', 'array', 'int64', 'array', 'int64', 'array', 'array', 'int64', 'array', 'int64', 'array', 'array', 'int64', 'array', 'int64', 'array', 'array', 'int64', 'array', 'int64']","['array([v.find(""EF"") for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)', 'array([v.rfind(""EF"") for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)', 'array([v.find(""EF"", 3) for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)', 'array([v.rfind(""EF"", 3) for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)', 'array([v.find(""EF"", 3, 6) for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)', 'array([v.rfind(""EF"", 3, 6) for v in np.array(ser)], dtype=np.int64)', 'array(result, dtype=np.int64), expected)']"
8,408,/io/stata.py___init__,30,"['dtype', 'dtype', 'int8', 'dtype', 'int16', 'dtype', 'int32', 'dtype', 'float32', 'dtype', 'float64', 'dtype', 'dtype', 'uint8', 'dtype', 'float64', 'dtype', 'float32', 'dtype', 'int32', 'dtype', 'int16', 'dtype', 'int8', 'float32', 'float32', 'float64', 'float64', 'float32', 'float64']","['dtype(f""S{i}"")) for i in range(1, 245)', 'dtype(np.int8))', 'dtype(np.int16))', 'dtype(np.int32))', 'dtype(np.float32))', 'dtype(np.float64))', 'dtype(np.uint8)', 'dtype(np.float64)', 'dtype(np.float32)', 'dtype(np.int32)', 'dtype(np.int16)', 'dtype(np.int8)', 'float32(struct.unpack(""<f"", float32_min)[0])', 'float32(struct.unpack(""<f"", float32_max)[0])', 'float64(struct.unpack(""<d"", float64_min)[0])', 'float64(struct.unpack(""<d"", float64_max)[0])', 'float32(struct.unpack(""<f"", b""\\x00\\x00\\x00\\x7f"")[0])']"
9,397,/io/stata.py__cast_to_stata_types,30,"['bool_', 'int8', 'int8', 'uint8', 'int8', 'int16', 'uint16', 'int16', 'int32', 'uint32', 'int32', 'int64', 'uint64', 'int64', 'float64', 'iinfo', 'int64', 'int8', 'int16', 'int16', 'int32', 'int64', 'int32', 'float64', 'float32', 'float64', 'isinf', 'float32', 'float64', 'float64']","['iinfo(c_data[1])', 'isinf(data[col]).any()']"
10,20501,/tests/reshape/concat/test_append_common.py_test_concat_categorical_coercion_nan,30,"['array', 'nan', 'nan', 'float64', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['array([np.nan, np.nan], dtype=np.float64), dtype=""category"")']"
11,3327,/tests/arrays/sparse/test_array.py_test_fillna,28,"['nan', 'nan', 'nan', 'float64', 'nan', 'nan', 'nan', 'float64', 'nan', 'float64', 'nan', 'float64', 'nan', 'nan', 'nan', 'nan', 'float64', 'nan', 'nan', 'nan', 'nan', 'float64', 'int64', 'int64', 'nan', 'int64', 'nan', 'isnan']",['isnan(s.fill_value)']
12,3367,/tests/arrays/sparse/test_libsparse.py_test_int_index_make_union,28,"['array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32']","['array([0, 3, 4], dtype=np.int32))', 'array([0, 2], dtype=np.int32))', 'array([0, 2, 3, 4], np.int32))', 'array([], dtype=np.int32))', 'array([0, 2], dtype=np.int32))', 'array([0, 2], np.int32))', 'array([], dtype=np.int32))', 'array([], dtype=np.int32))', 'array([], np.int32))', 'array([0, 1, 2, 3, 4], dtype=np.int32))', 'array([0, 1, 2, 3, 4], dtype=np.int32))', 'array([0, 1, 2, 3, 4], np.int32))', 'array([0, 1], dtype=np.int32))', 'array([0, 1], dtype=np.int32))']"
13,14602,/tests/frame/test_block_internals.py_test_constructor_with_convert,27,"['asarray', 'int64', 'asarray', 'uint64', 'asarray', 'object_', 'asarray', 'nan', 'float64', 'asarray', 'float64', 'asarray', 'complex128', 'asarray', 'complex128', 'asarray', 'object_', 'asarray', 'nan', 'float64', 'asarray', 'nan', 'complex128', 'asarray', 'object_', 'asarray', 'object_']","['asarray([2**63 - 1], np.int64), name=""A"")', 'asarray([2**63], np.uint64), name=""A"")', 'asarray([datetime(2005, 1, 1), True], np.object_)', 'asarray([np.nan, 1], np.float64), name=""A"")', 'asarray([1.0, 2], np.float64), name=""A"")', 'asarray([1.0 + 2.0j, 3], np.complex128), name=""A"")', 'asarray([1.0 + 2.0j, 3.0], np.complex128), name=""A"")', 'asarray([1.0 + 2.0j, True], np.object_), name=""A"")', 'asarray([1.0, np.nan], np.float64), name=""A"")', 'asarray([1.0 + 2.0j, np.nan], np.complex128), name=""A"")', 'asarray([2.0, 1, True, None], np.object_), name=""A"")', 'asarray([2.0, 1, datetime(2006, 1, 1), None], np.object_)']"
14,10942,/tests/strings/test_find_replace.py_test_contains,26,"['array', 'nan', 'object_', 'array', 'nan', 'object_', 'array', 'nan', 'object_', 'array', 'bool_', 'array', 'array', 'array', 'array', 'array', 'nan', 'object_', 'array', 'nan', 'object_', 'bool_', 'array', 'array', 'object_', 'array']","['array([False, np.nan, True, True, False], dtype=np.object_)', 'array([False, np.nan, False, False, True], dtype=np.object_)', 'array([""foo"", ""xyz"", ""fooommm__foo"", ""mmm_""], dtype=object)', 'array([False, False, True, True]), dtype=expected_dtype)', 'array([""Foo"", ""xYz"", ""fOOomMm__fOo"", ""MMM_""], dtype=object)', 'array([True, False, True, True]), dtype=expected_dtype)', 'array([True, False, True, False]), dtype=expected_dtype)', 'array([""foo"", np.nan, ""fooommm__foo"", ""mmm_""], dtype=np.object_)', 'array([False, np.nan, True, True], dtype=np.object_)', 'array([False, False, True, True]), dtype=expected_dtype)', 'array([""foo"", ""xyz"", ""fooommm__foo"", ""mmm_""], dtype=np.object_)', 'array([False, False, True, True]), dtype=expected_dtype)']"
15,21033,/tests/tslibs/test_np_datetime.py_test_get_unit_from_dtype,26,"['dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype']","['dtype(""M8[Y]""))', 'dtype(""M8[M]""))', 'dtype(""M8[W]""))', 'dtype(""M8[D]""))', 'dtype(""M8[h]""))', 'dtype(""M8[m]""))', 'dtype(""M8[s]""))', 'dtype(""M8[ms]""))', 'dtype(""M8[us]""))', 'dtype(""M8[ns]""))', 'dtype(""M8[ps]""))', 'dtype(""M8[fs]""))', 'dtype(""M8[as]""))', 'dtype(""m8[Y]""))', 'dtype(""m8[M]""))', 'dtype(""m8[W]""))', 'dtype(""m8[D]""))', 'dtype(""m8[h]""))', 'dtype(""m8[m]""))', 'dtype(""m8[s]""))', 'dtype(""m8[ms]""))', 'dtype(""m8[us]""))', 'dtype(""m8[ns]""))', 'dtype(""m8[ps]""))', 'dtype(""m8[fs]""))', 'dtype(""m8[as]""))']"
16,9807,/tests/arithmetic/test_datetime64.py_test_dti_cmp_nat_behaves_like_float_cmp_nan,26,"['nan', 'nan', 'nan', 'nan', 'array', 'datetime64', 'datetime64', 'datetime64', 'datetime64', 'datetime64', 'datetime64', 'array', 'array', 'array', 'array', 'array', 'array', 'nan', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array']","['datetime64(""2014-02-01 00:00"")', 'datetime64(""2014-03-01 00:00"")', 'datetime64(""nat"")', 'datetime64(""nat"")', 'datetime64(""2014-06-01 00:00"")', 'datetime64(""2014-07-01 00:00"")', 'array([True, False, False, False, True, False])', 'array([True, False, False, False, True, False])', 'array([True, False, False, False, True, True])', 'array([True, False, False, False, True, True])', 'array([False, False, False, False, False, True])', 'array([True, True, True, True, True, False])', 'array([False, False, False, False, False, False])', 'array([True, True, True, True, True, True])', 'array([True, False, False, False, False, False])', 'array([False, False, False, False, True, True])', 'array([True, False, True, False, False, False])', 'array([False, False, True, False, True, True])', 'array([False, False, True, False, False, False])', 'array([True, True, False, True, True, True])']"
17,14486,/tests/frame/test_constructors.py_test_constructor_with_datetimes,26,"['dtype', 'dtype', 'float64', 'dtype', 'object_', 'arange', 'dtype', 'dtype', 'dtype', 'dtype', 'array', 'array', 'arange', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype', 'array', 'array', 'arange', 'dtype', 'dtype', 'dtype', 'dtype', 'dtype']","['dtype(int)', 'dtype(np.float64)', 'dtype(np.object_)', 'arange(10)', 'dtype(""int64"")', 'dtype(objectname)', 'dtype(""M8[s]""), np.dtype(""M8[us]"")', 'array(1.0, dtype=floatname)', 'array(1, dtype=intname)', 'arange(10)', 'dtype(""float64"")', 'dtype(""int64"")', 'dtype(""object"")', 'dtype(""float64"")', 'dtype(intname)', 'array([1.0] * 10, dtype=floatname)', 'array([1] * 10, dtype=intname)', 'arange(10)', 'dtype(""float64"")', 'dtype(""int64"")', 'dtype(""object"")', 'dtype(""float64"")', 'dtype(intname)']"
18,5476,/tests/io/test_stata.py_test_read_empty_dta_with_dtypes,25,"['array', 'int8', 'array', 'int16', 'array', 'int32', 'array', 'int64', 'array', 'uint8', 'array', 'uint16', 'array', 'uint32', 'array', 'uint64', 'array', 'float32', 'array', 'float64', 'int8', 'int16', 'int32', 'int32', 'int32']","['array([0], dtype=np.int8)', 'array([0], dtype=np.int16)', 'array([0], dtype=np.int32)', 'array([0], dtype=np.int64)', 'array([0], dtype=np.uint8)', 'array([0], dtype=np.uint16)', 'array([0], dtype=np.uint32)', 'array([0], dtype=np.uint64)', 'array([0], dtype=np.float32)', 'array([0], dtype=np.float64)']"
19,3372,/tests/arrays/sparse/test_libsparse.py_test_block_internal,24,"['array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32']","['array([2, 3], dtype=np.int32), kind=""block"")', 'array([2], dtype=np.int32))', 'array([2], dtype=np.int32))', 'array([], dtype=np.int32), kind=""block"")', 'array([], dtype=np.int32))', 'array([], dtype=np.int32))', 'array([0, 1, 2, 3], dtype=np.int32), kind=""block"")', 'array([0], dtype=np.int32))', 'array([4], dtype=np.int32))', 'array([0, 2, 3], dtype=np.int32), kind=""block"")', 'array([0, 2], dtype=np.int32))', 'array([1, 2], dtype=np.int32))']"
20,3376,/tests/arrays/sparse/test_libsparse.py_test_block_internal,24,"['array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32', 'array', 'int32']","['array([2, 3], dtype=np.int32), kind=""block"")', 'array([2], dtype=np.int32))', 'array([2], dtype=np.int32))', 'array([], dtype=np.int32), kind=""block"")', 'array([], dtype=np.int32))', 'array([], dtype=np.int32))', 'array([0, 1, 2, 3], dtype=np.int32), kind=""block"")', 'array([0], dtype=np.int32))', 'array([4], dtype=np.int32))', 'array([0, 2, 3], dtype=np.int32), kind=""block"")', 'array([0, 2], dtype=np.int32))', 'array([1, 2], dtype=np.int32))']"
21,2855,/tests/arrays/categorical/test_sorting.py_test_sort_values_na_position,23,"['nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan', 'nan', 'nan', 'array', 'nan', 'nan', 'array', 'nan']","['array([2.0, 2.0, 5.0, np.nan, np.nan])', 'array([np.nan, np.nan, 2.0, 2.0, 5.0])', 'array([np.nan, np.nan, 5.0, 2.0, 2.0])', 'array([2.0, 2.0, 5.0, np.nan, np.nan])', 'array([5.0, 2.0, 2.0, np.nan, np.nan])', 'array([""d"", ""c"", ""b"", ""a"", np.nan], dtype=object)', 'array([np.nan, ""d"", ""c"", ""b"", ""a""], dtype=object)']"
22,2389,/tests/test_nanops.py_setup_method,23,"['random.default_rng', 'random.default_rng', 'random.default_rng', 'random.default_rng', 'abs', 'abs', 'random.default_rng', 'random.default_rng', 'tile', 'nan', 'vstack', 'vstack', 'vstack', 'vstack', 'inf', 'vstack', 'vstack', 'vstack', 'vstack', 'vstack', 'errstate', 'vstack', 'vstack']","['random.default_rng(2).standard_normal(arr_shape)', 'random.default_rng(2).standard_normal(arr_shape)', 'random.default_rng(2).integers(-10, 10, arr_shape)', 'random.default_rng(2).integers(0, 2, arr_shape)', 'abs(self.arr_float).astype(""S"")', 'abs(self.arr_float).astype(""U"")', 'random.default_rng(2).integers(0, 20000, arr_shape).astype(""M8[ns]"")', 'random.default_rng(2).integers(0, 20000, arr_shape).astype(""m8[ns]"")', 'tile(np.nan, arr_shape)', 'vstack([self.arr_float, self.arr_nan])', 'vstack([self.arr_float1, self.arr_nan])', 'vstack([self.arr_nan, self.arr_float1])', 'vstack([self.arr_nan, self.arr_nan])', 'vstack([self.arr_float, self.arr_inf])', 'vstack([self.arr_nan, self.arr_inf])', 'vstack([self.arr_float, self.arr_nan, self.arr_inf])', 'vstack([self.arr_nan, self.arr_nan, self.arr_inf])', 'errstate(invalid=""ignore"")', 'vstack([self.arr_complex, self.arr_nan_nanj])', 'vstack([self.arr_complex, self.arr_nan_infj])']"
23,20695,/tests/reshape/merge/test_merge_asof.py_test_allow_exact_matches,22,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",[]
24,20698,/tests/reshape/merge/test_merge_asof.py_test_allow_exact_matches_and_tolerance,22,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",[]
