,np_call,np_args,total_np_calls,num_pandas_funs_used_by
0,array,dtype,1906,999
1,arange,dtype,433,364
2,arange,index,152,137
3,random.default_rng,index,146,135
4,random.default_rng,size,177,121
5,zeros,dtype,135,105
6,random.default_rng,columns,89,84
7,asarray,dtype,108,80
8,ones,dtype,74,62
9,empty,dtype,80,58
10,arange,periods,45,44
11,errstate,all,40,38
12,arange,columns,37,34
13,arange,name,24,21
14,array,fill_value,55,18
15,array,name,18,16
16,array,copy,19,15
17,errstate,invalid,19,15
18,ones,columns,16,15
19,array,allow_fill,22,14
20,random.default_rng,name,17,14
21,ones,index,15,14
22,where,,18,12
23,random.default_rng,dtype,14,12
24,array,index,13,12
25,all,,14,11
26,zeros,index,11,11
27,array,,11,10
28,full,dtype,10,10
29,arange,unit,14,9
30,concatenate,axis,10,9
31,array,freq,15,8
32,arange,size,8,8
33,array,columns,8,7
34,timedelta64,dtype,8,6
35,zeros,shape,7,6
36,tile,dtype,6,6
37,argsort,kind,6,5
38,dtype,index,6,5
39,argmax,out,5,5
40,argmin,out,5,5
41,array,tz,5,5
42,bincount,minlength,5,5
43,empty,index,5,5
44,max,out,5,5
45,min,out,5,5
46,repeat,axis,5,5
47,zeros,columns,5,5
48,array,kind,20,4
49,array,ndmin,8,4
50,round,decimals,6,4
51,dtype,name,5,4
52,eye,dtype,5,4
53,max,,5,4
54,arange,closed,4,4
55,arange,freq,4,4
56,argsort,axis,4,4
57,array,days,4,4
58,asarray,freq,4,4
59,eye,columns,4,4
60,ma.MaskedArray,fill_value,4,4
61,ma.MaskedArray,mask,4,4
62,ones,shape,4,4
63,std,ddof,4,4
64,dot,index,6,3
65,random.default_rng,ax,5,3
66,random.default_rng,high,5,3
67,array,tzinfo,4,3
68,repeat,dtype,4,3
69,argsort,order,3,3
70,array,skipna,3,3
71,datetime64,freq,3,3
72,frombuffer,dtype,3,3
73,full,fill_value,3,3
74,min,,3,3
75,dropna,axis,6,2
76,dropna,inplace,6,2
77,isnan,locale,5,2
78,sum,axis,5,2
79,array,cache,4,2
80,array,mask,4,2
81,array,n,4,2
82,array,unit,4,2
83,unique,return_index,4,2
84,allclose,atol,3,2
85,arange,names,3,2
86,datetime64,dtype,3,2
87,nonzero,,3,2
88,arange,,2,2
89,arange,ordered,2,2
90,arange,tz,2,2
91,array,check_dtype,2,2
92,array,level,2,2
93,array,minutes,2,2
94,bincount,,2,2
95,bincount,copy,2,2
96,complex128,rtol,2,2
97,complex64,rtol,2,2
98,cov,ddof,2,2
99,empty,shape,2,2
100,empty_like,dtype,2,2
101,errstate,divide,2,2
102,eye,index,2,2
103,fromiter,dtype,2,2
104,linspace,num,2,2
105,ones,periods,2,2
106,ones_like,dtype,2,2
107,percentile,axis,2,2
108,random.default_rng,low,2,2
109,random.default_rng,replace,2,2
110,repeat,index,2,2
111,round,out,2,2
112,searchsorted,side,2,2
113,squeeze,axis,2,2
114,take,axis,2,2
115,tile,columns,2,2
116,tile,index,2,2
117,transpose,axes,2,2
118,unique,return_inverse,2,2
119,zeros,mask,2,2
120,zeros_like,dtype,2,2
121,asarray,name,10,1
122,isnan,skipna,4,1
123,abs,,2,1
124,all,fill_value,2,1
125,any,fill_value,2,1
126,arange,start,2,1
127,array,bins,2,1
128,array,dayfirst,2,1
129,array,fastpath,2,1
130,array_split,axis,2,1
131,asanyarray,dtype,2,1
132,asarray,inf_as_na,2,1
133,asarray,skipna,2,1
134,asarray,sort,2,1
135,bitwise_or.reduce,axis,2,1
136,delete,axis,2,1
137,dropna,thresh,2,1
138,float64,dtype,2,1
139,isnan,,2,1
140,isnan,axis,2,1
141,linspace,endpoint,2,1
142,max,axis,2,1
143,maximum.accumulate,axis,2,1
144,rec.fromarrays,dtype,2,1
145,round,dtype,2,1
146,round,na_value,2,1
147,sin,fill_value,2,1
148,subtract,freq,2,1
149,sum,fill_value,2,1
150,take,fill_value,2,1
151,tile,periods,2,1
152,timedelta64,,2,1
153,timedelta64,days,2,1
154,timedelta64,freq,2,1
155,timedelta64,minutes,2,1
156,timedelta64,seconds,2,1
157,unique,dtype,2,1
158,abs,dtype,1,1
159,abs,index,1,1
160,add,name,1,1
161,add,out,1,1
162,all,axis,1,1
163,all,columns,1,1
164,all,out,1,1
165,allclose,rtol,1,1
166,any,axis,1,1
167,any,columns,1,1
168,any,out,1,1
169,append,size,1,1
170,arange,ax,1,1
171,arange,color,1,1
172,arange,copy,1,1
173,arange,kind,1,1
174,arange,replace,1,1
175,arange,span,1,1
176,arange,step,1,1
177,arange,stop,1,1
178,argsort,check_dtype,1,1
179,array,attr,1,1
180,array,categories,1,1
181,array,closed,1,1
182,array,ddof,1,1
183,array,errors,1,1
184,array,inplace,1,1
185,array,microseconds,1,1
186,array,ordered,1,1
187,array,shape,1,1
188,array,size,1,1
189,array_equal,equal_nan,1,1
190,asarray,,1,1
191,asarray,allow_fill,1,1
192,asarray,categorize,1,1
193,asarray,copy,1,1
194,asarray,dropna,1,1
195,asarray,fill_value,1,1
196,asarray,observed,1,1
197,asarray,style,1,1
198,concatenate,dtype,1,1
199,concatenate,index,1,1
200,cumsum,,1,1
201,cumsum,loc,1,1
202,cumsum,scale,1,1
203,cumsum,size,1,1
204,datetime64,,1,1
205,datetime64,format,1,1
206,delete,index,1,1
207,dropna,how,1,1
208,dropna,subset,1,1
209,dtype,,1,1
210,dtype,categories,1,1
211,dtype,closed,1,1
212,dtype,compat,1,1
213,dtype,copy,1,1
214,dtype,ordered,1,1
215,dtype,tz,1,1
216,ediff1d,to_begin,1,1
217,ediff1d,to_end,1,1
218,empty,columns,1,1
219,empty,name,1,1
220,errstate,over,1,1
221,eye,name,1,1
222,finfo,dtype,1,1
223,flatnonzero,,1,1
224,flatnonzero,copy,1,1
225,frombuffer,count,1,1
226,histogram,bins,1,1
227,histogram,range,1,1
228,iinfo,dtype,1,1
229,imag,check_dtype,1,1
230,int64,copy,1,1
231,isclose,atol,1,1
232,isclose,equal_nan,1,1
233,kron,,1,1
234,lib.stride_tricks.as_strided,shape,1,1
235,lib.stride_tricks.as_strided,strides,1,1
236,log,data,1,1
237,log,dtype,1,1
238,logical_and,,1,1
239,ma.zeros,dtype,1,1
240,max,freq,1,1
241,maximum.reduce,axis,1,1
242,mean,dtype,1,1
243,mean,out,1,1
244,min,freq,1,1
245,modf,dtype,1,1
246,modf,na_value,1,1
247,nanmax,orig,1,1
248,nanmin,orig,1,1
249,ndim,,1,1
250,nextafter,dtype,1,1
251,percentile,q,1,1
252,ptp,,1,1
253,quantile,interpolation,1,1
254,quantile,q,1,1
255,random.default_rng,color,1,1
256,random.default_rng,seed,1,1
257,ravel,columns,1,1
258,real,check_dtype,1,1
259,rec.array,dtype,1,1
260,rec.fromarrays,names,1,1
261,repeat,,1,1
262,repeat,columns,1,1
263,repeat,ordered,1,1
264,repeat,repeats,1,1
265,reshape,columns,1,1
266,round,,1,1
267,searchsorted,sorter,1,1
268,sin,dtype,1,1
269,sin,name,1,1
270,sort,axis,1,1
271,sort,return_index,1,1
272,sort,size,1,1
273,split,axis,1,1
274,split,indices_or_sections,1,1
275,sqrt,axis,1,1
276,sqrt,dtype,1,1
277,sqrt,name,1,1
278,squeeze,ddof,1,1
279,squeeze,order,1,1
280,std,axis,1,1
281,subtract,out,1,1
282,sum,dtype,1,1
283,sum,initial,1,1
284,sum,keepdims,1,1
285,sum,out,1,1
286,tile,name,1,1
287,timedelta64,hours,1,1
288,timedelta64,name,1,1
289,uint64,columns,1,1
290,unique,,1,1
291,var,ddof,1,1
292,where,copy,1,1
293,where,index,1,1
294,where,keep,1,1
