,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas
0,nan,24060,19404,True
1,array,3615,1816,True
2,random.default_rng,1923,1383,True
3,arange,1393,1012,True
4,ndarray,852,593,True
5,int64,671,444,True
6,float64,551,410,True
7,dtype,681,367,True
8,intp,486,290,True
9,asarray,343,232,True
10,shares_memory,527,231,True
11,bool_,286,229,True
12,datetime64,262,177,True
13,timedelta64,291,167,True
14,zeros,192,150,True
15,ones,187,149,True
16,object_,171,114,True
17,isnan,181,111,True
18,int32,250,108,True
19,empty,89,68,True
20,inf,133,63,True
21,repeat,92,63,True
22,uint64,86,60,True
23,float32,87,55,True
24,errstate,61,55,True
25,tile,57,49,True
26,concatenate,59,45,True
27,int8,73,43,True
28,mean,53,37,True
29,where,52,37,True
30,linspace,42,36,True
31,iinfo,41,36,True
32,sum,45,31,True
33,int16,40,28,True
34,abs,45,27,True
35,integer,28,24,True
36,all,37,23,True
37,complex128,29,23,True
38,uint8,25,22,True
39,sort,31,21,True
40,vstack,31,20,True
41,number,23,18,True
42,full,18,15,True
43,ufunc,15,15,True
44,argsort,28,14,True
45,sqrt,26,14,True
46,any,20,14,True
47,str_,18,14,True
48,percentile,22,13,True
49,putmask,18,13,True
50,unique,17,13,True
51,prod,13,13,True
52,add,29,12,True
53,delete,15,12,True
54,uint32,15,12,True
55,eye,13,12,True
56,allclose,14,11,True
57,floating,14,11,True
58,newaxis,14,11,True
59,isfinite,12,11,True
60,finfo,17,10,True
61,max,16,10,True
62,min,16,10,True
63,isinf,13,10,True
64,cumsum,11,10,True
65,float16,11,10,True
66,sin,18,9,True
67,result_type,16,9,True
68,append,13,9,True
69,round,13,9,True
70,insert,12,9,True
71,complex64,11,9,True
72,std,11,9,True
73,array_equal,10,9,True
74,datetime_data,9,9,True
75,issubdtype,9,9,True
76,argmin,15,8,True
77,argmax,14,8,True
78,r_,14,8,True
79,modf,12,8,True
80,take,11,8,True
81,hstack,10,8,True
82,bincount,9,8,True
83,isnat,9,8,True
84,corrcoef,13,6,True
85,lexsort,8,6,True
86,uint16,8,6,True
87,zeros_like,8,6,True
88,log,7,6,True
89,median,7,6,True
90,nonzero,7,6,True
91,diff,6,6,True
92,ndim,6,6,True
93,ones_like,6,6,True
94,rec.recarray,6,6,True
95,dot,23,5,True
96,transpose,12,5,True
97,cov,9,5,True
98,maximum.accumulate,9,5,True
99,nanmax,8,5,True
100,nanmin,8,5,True
101,pi,7,5,True
102,broadcast_to,6,5,True
103,cumprod,6,5,True
104,empty_like,5,5,True
105,fabs,5,5,True
106,log10,5,5,True
107,negative,5,5,True
108,signedinteger,5,5,True
109,may_share_memory,7,4,True
110,divmod,6,4,True
111,maximum.reduce,6,4,True
112,quantile,6,4,True
113,add.reduce,5,4,True
114,frombuffer,5,4,True
115,minimum.accumulate,5,4,True
116,positive,5,4,True
117,ma.MaskedArray,4,4,True
118,ma.core.MaskedArray,4,4,True
119,nansum,4,4,True
120,rec.array,4,4,True
121,random.RandomState,13,3,True
122,apply_along_axis,11,3,True
123,intersect1d,8,3,True
124,int_,6,3,True
125,floor,5,3,True
126,ravel,5,3,True
127,searchsorted,5,3,True
128,subtract,5,3,True
129,isin,4,3,True
130,logical_and,4,3,True
131,rec.fromarrays,4,3,True
132,signbit,4,3,True
133,size,4,3,True
134,squeeze,4,3,True
135,around,3,3,True
136,bytes_,3,3,True
137,divide,3,3,True
138,generic,3,3,True
139,nanmedian,3,3,True
140,nextafter,3,3,True
141,reshape,3,3,True
142,resize,3,3,True
143,roll,3,3,True
144,shape,3,3,True
145,split,3,3,True
146,dropna,6,2,True
147,heaviside,6,2,True
148,min_scalar_type,6,2,True
149,logaddexp,5,2,True
150,random,5,2,True
151,random.Generator,5,2,True
152,compress,4,2,True
153,exp,4,2,True
154,array_split,3,2,True
155,atleast_2d,3,2,True
156,imag,3,2,True
157,minimum.reduce,3,2,True
158,__version__,2,2,True
159,atleast_1d,2,2,True
160,bitwise_xor,2,2,True
161,can_cast,2,2,True
162,ceil,2,2,True
163,complexfloating,2,2,True
164,copy,2,2,True
165,fix,2,2,True
166,flatnonzero,2,2,True
167,frexp,2,2,True
168,fromiter,2,2,True
169,isclose,2,2,True
170,lib.stride_tricks.as_strided,2,2,True
171,loadtxt,2,2,True
172,logical_or,2,2,True
173,matmul,2,2,True
174,maximum,2,2,True
175,random.randn,2,2,True
176,subtract.outer,2,2,True
177,typecodes,2,2,True
178,var,2,2,True
179,bitwise_or.reduce,4,1,True
180,double,3,1,True
181,promote_types,3,1,True
182,asanyarray,2,1,True
183,c_,2,1,True
184,e,2,1,True
185,multiply.reduce,2,1,True
186,nan_to_num,2,1,True
187,ptp,2,1,True
188,random.BitGenerator,2,1,True
189,random.MT19937,2,1,True
190,random.PCG64,2,1,True
191,real,2,1,True
192,ComplexWarning,1,1,True
193,VisibleDeprecationWarning,1,1,True
194,absolute,1,1,True
195,add.at,1,1,True
196,arctan2,1,1,True
197,argwhere,1,1,True
198,bitwise_xor.reduce,1,1,True
199,clip,1,1,True
200,column_stack,1,1,True
201,complex64_,1,1,True
202,cos,1,1,True
203,dtypes,1,1,True
204,ediff1d,1,1,True
205,exceptions.ComplexWarning,1,1,True
206,fill,1,1,True
207,fill_diagonal,1,1,True
208,find_common_type,1,1,True
209,float128,1,1,True
210,floor_divide,1,1,True
211,from_dlpack,1,1,True
212,geterr,1,1,True
213,histogram,1,1,True
214,identity,1,1,True
215,interp,1,1,True
216,invert,1,1,True
217,ix_,1,1,True
218,kron,1,1,True
219,log.at,1,1,True
220,log2,1,1,True
221,logical_not,1,1,True
222,longdouble,1,1,True
223,ma.array,1,1,True
224,ma.zeros,1,1,True
225,matrix,1,1,True
226,minimum,1,1,True
227,mod,1,1,True
228,multiply,1,1,True
229,nanprod,1,1,True
230,ndarray.__array_ufunc__,1,1,True
231,outer,1,1,True
232,random.normal,1,1,True
233,random.rand,1,1,True
234,random.seed,1,1,True
235,s_,1,1,True
236,setdiff1d,1,1,True
237,sign,1,1,True
238,string,1,1,True
239,unsignedinteger,1,1,True
240,void,1,1,True
