,index,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
0,0,nan,13294.0,10126.0,True,nan,numpy.nan,https://numpy.org/doc/stable/reference/generated/numpy.nan.html,,,,False
1,350,array,4267.0,2054.0,True,array,numpy.array,https://numpy.org/doc/stable/reference/generated/numpy.array.html,arkouda.pdarraycreation.array,pdarraycreation.array,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.array,True
2,351,arange,1265.0,836.0,True,arange,numpy.arange,https://numpy.org/doc/stable/reference/generated/numpy.arange.html,arkouda.pdarraycreation.arange,pdarraycreation.arange,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.arange,True
3,352,arange,1265.0,836.0,True,arange,numpy.arange,https://numpy.org/doc/stable/reference/generated/numpy.arange.html,arkouda.array_api._creation_functions.arange,array_api._creation_functions.arange,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.arange,True
4,353,zeros,1065.0,702.0,True,zeros,numpy.zeros,https://numpy.org/doc/stable/reference/generated/numpy.zeros.html,arkouda.pdarraycreation.zeros,pdarraycreation.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros,True
5,354,zeros,1065.0,702.0,True,zeros,numpy.zeros,https://numpy.org/doc/stable/reference/generated/numpy.zeros.html,arkouda.array_api._creation_functions.zeros,array_api._creation_functions.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros,True
6,355,asarray,1033.0,636.0,True,asarray,numpy.asarray,https://numpy.org/doc/stable/reference/generated/numpy.asarray.html,arkouda.array_api._creation_functions.asarray,array_api._creation_functions.asarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.asarray,True
7,356,linspace,850.0,552.0,True,linspace,numpy.linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.pdarraycreation.linspace,pdarraycreation.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.linspace,True
8,357,linspace,850.0,552.0,True,linspace,numpy.linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.array_api._creation_functions.linspace,array_api._creation_functions.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.linspace,True
9,358,inf,1475.0,497.0,True,inf,numpy.inf,https://numpy.org/doc/stable/reference/generated/numpy.inf.html,,,,False
10,359,random.seed,546.0,452.0,True,seed,numpy.random.seed,https://numpy.org/doc/stable/reference/generated/numpy.random.seed.html,,,,False
11,360,ones,614.0,419.0,True,ones,numpy.ones,https://numpy.org/doc/stable/reference/generated/numpy.ones.html,arkouda.pdarraycreation.ones,pdarraycreation.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones,True
12,361,ones,614.0,419.0,True,ones,numpy.ones,https://numpy.org/doc/stable/reference/generated/numpy.ones.html,arkouda.array_api._creation_functions.ones,array_api._creation_functions.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones,True
13,362,random.default_rng,435.0,380.0,True,default_rng,numpy.random.default_rng,https://numpy.org/doc/stable/reference/generated/numpy.random.default_rng.html,,,,False
14,363,pi,855.0,370.0,True,pi,numpy.pi,https://numpy.org/doc/stable/reference/generated/numpy.pi.html,,,,False
15,364,float64,546.0,357.0,True,float64,numpy.float64,https://numpy.org/doc/stable/reference/generated/numpy.float64.html,arkouda.dtypes.float64,dtypes.float64,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.float64,True
16,365,sqrt,633.0,345.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.pdarrayclass.sqrt,pdarrayclass.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sqrt,True
17,366,sqrt,633.0,345.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.array_api._elementwise_functions.sqrt,array_api._elementwise_functions.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sqrt,True
18,367,abs,595.0,294.0,True,,,,,,,
19,368,exp,637.0,277.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.numeric.exp,numeric.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.exp,True
20,369,exp,637.0,277.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.array_api._elementwise_functions.exp,array_api._elementwise_functions.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.exp,True
21,370,empty,469.0,267.0,True,empty,numpy.empty,https://numpy.org/doc/stable/reference/generated/numpy.empty.html,arkouda.array_api._creation_functions.empty,array_api._creation_functions.empty,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty,True
22,371,sum,454.0,267.0,True,sum,numpy.sum,https://numpy.org/doc/stable/reference/generated/numpy.sum.html,arkouda.pdarrayclass.sum,pdarrayclass.sum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sum,True
23,372,sum,454.0,267.0,True,sum,numpy.sum,https://numpy.org/doc/stable/reference/generated/numpy.sum.html,arkouda.array_api._statistical_functions.sum,array_api._statistical_functions.sum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.sum,True
24,373,random.rand,480.0,262.0,True,rand,numpy.random.rand,https://numpy.org/doc/stable/reference/generated/numpy.random.rand.html,,,,False
25,374,eye,351.0,220.0,True,eye,numpy.eye,https://numpy.org/doc/stable/reference/generated/numpy.eye.html,arkouda.array_api._creation_functions.eye,array_api._creation_functions.eye,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.eye,True
26,375,dot,435.0,210.0,True,dot,numpy.dot,https://numpy.org/doc/stable/reference/generated/numpy.dot.html,,,,False
27,376,isnan,374.0,204.0,True,isnan,numpy.isnan,https://numpy.org/doc/stable/reference/generated/numpy.isnan.html,arkouda.numeric.isnan,numeric.isnan,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.isnan,True
28,377,isnan,374.0,204.0,True,isnan,numpy.isnan,https://numpy.org/doc/stable/reference/generated/numpy.isnan.html,arkouda.array_api._elementwise_functions.isnan,array_api._elementwise_functions.isnan,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.isnan,True
29,378,all,328.0,194.0,True,all,numpy.all,https://numpy.org/doc/stable/reference/generated/numpy.all.html,arkouda.pdarrayclass.all,pdarrayclass.all,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.all,True
30,379,all,328.0,194.0,True,all,numpy.all,https://numpy.org/doc/stable/reference/generated/numpy.all.html,arkouda.array_api._utility_functions.all,array_api._utility_functions.all,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._utility_functions.all,True
