,index,scipy_function,num_np_calls,np_calls,np_calls_w_args
0,8945,/linalg/tests/test_solvers.py_test_solve_discrete_are,81,"['array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'eye', 'eye', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'eye', 'array', 'array', 'eye', 'eye', 'array', 'array', 'array', 'eye', 'array', 'array', 'eye', 'eye', 'kron', 'eye', 'diag', 'kron', 'eye', 'array', 'array', 'array', 'array', 'array', 'diag', 'eye', 'array', 'array', 'eye', 'array', 'array', 'eye', 'eye', 'eye', 'array', 'array', 'diag', 'array', 'eye', 'flipud', 'eye', 'eye', 'array']","['array([[2, 1-2j], [0, -3j]])', 'array([[0], [1]])', 'array([[1, 0], [0, 2]])', 'array([[1]])', 'array([[2, 1], [0, -1]])', 'array([[-2j], [1j]])', 'array([[1, 0], [0, 2]])', 'array([[1]])', 'array([[3, 1], [0, -1]])', 'array([[1, 2], [1, 3]])', 'array([[1, 1+1j], [1-1j, 2]])', 'array([[2, -2j], [2j, 3]])', 'array([[0.96861695], [0.05532739], [0.78934047]])', 'eye(3)', 'eye(1)', 'array([[4, 3], [-4.5, -3.5]])', 'array([[1], [-1]])', 'array([[9, 6], [6, 4]])', 'array([[1]])', 'array([[0.9512, 0], [0, 0.9048]])', 'array([[4.877, 4.877], [-1.1895, 3.569]])', 'array([[0.005, 0], [0, 0.02]])', 'array([[1/3, 0], [0, 3]])', 'array([[2, -1], [1, 0]])', 'array([[1], [0]])', 'array([[0, 0], [0, 1]])', 'array([[0]])', 'array([[0, 1], [0, -1]])', 'array([[1, 0], [2, 1]])', 'array([[-4, -4], [-4, 7]]) * (1/11)', 'array([[9, 3], [3, 1]])', 'array([[0, 1], [0, 0]])', 'array([[0], [1]])', 'array([[1, 2], [2, 4]])', 'array([[1]])', 'eye(2)', 'eye(4)', 'eye(2)', 'eye(4)', 'eye(5)', 'eye(2)', 'kron(np.eye(2), np.diag([1, 1], k=1))', 'kron(np.eye(2), np.array([[0], [0], [1]]))', 'array([[3, 0], [0, 1]])', 'diag([50, 0, 0, 0, 50, 0, 0, 0, 0])', 'eye(3)', 'array([[0, 1e6], [0, 0]])', 'array([[0], [1]])', 'eye(2)', 'array([[1]])', 'eye(3)', 'eye(3)', 'eye(3)', 'array([[1e-08], [0], [0], [0]])', 'diag([0, 0, 0, 1])', 'array([[0.25]])', 'eye(100, k=1)', 'flipud(np.eye(100, 1))', 'eye(100)', 'array([[1]])']"
1,8943,/linalg/tests/test_solvers.py_test_solve_continuous_are,59,"['diag', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'eye', 'array', 'array', 'array', 'eye', 'array', 'array', 'eye', 'eye', 'array', 'array', 'ones', 'array', 'array', 'ones', 'array', 'array', 'eye', 'array', 'eye', 'eye', 'eye', 'array', 'array', 'array', 'array', 'eye', 'array', 'diag', 'array', 'eye', 'array', 'array', 'diag', 'array', 'ones', 'ones', 'eye', 'eye', 'rot90', 'zeros', 'eye', 'eye', 'eye', 'eye', 'diag', 'ones', 'flipud', 'eye', 'eye', 'eye']","['diag([1.], 1)', 'array([[0], [1]])', 'array([[4, 3], [-4.5, -3.5]])', 'array([[1], [-1]])', 'array([[9, 6], [6, 4.]])', 'array([[0, 0], [0.36, -1.6], [-0.95, -0.032], [0.03, 0]])', 'eye(2)', 'eye(2)', 'eye(9)', 'eye(3)', 'array([[1, 0], [0, -2.]])', 'array([[1e-6], [0]])', 'ones((2, 2))', 'array([[0.100, 0.000], [0.001, 0.010]])', 'array([[100, 1000], [1000, 10000]])', 'ones((2, 2)) + block_diag(1e-6, 0)', 'array([[0, 1e6], [0, 0]])', 'array([[0], [1.]])', 'eye(2)', 'array([[1.0000001, 1], [1., 1.0000001]])', 'eye(2)', 'eye(2)', 'eye(2)', 'array([[3, 1.], [4, 2]])', 'array([[1], [1]])', 'array([[-11, -5], [-5, -2.]])', 'eye(3)', 'array([[1., -2., -2.], [-2., 1., -2.], [-2., -2., 1.]])', 'diag([1e-6, 1, 1e6]))', 'array([[1., -2., -2.], [-2., 1., -2.], [-2., -2., 1.]]))', 'eye(3)', 'array([[0, 0, 0, 1e6]])', 'diag([1, 0, 1, 0])', 'ones((4, 1))', 'ones((4, 4))', 'eye(64, 64, k=-1) + np.eye(64, 64)*(-2.)', 'zeros((62, 62)), 1)) + np.eye(64, 64, k=1)', 'eye(64)', 'eye(64)', 'eye(64)', 'diag(np.ones((20, )), 1)', 'flipud(np.eye(21, 1))', 'eye(21, 1) * np.eye(21, 1)']"
2,9345,/linalg/tests/test_decomp_lu.py_test_empty_edge_cases,53,"['empty', 'empty', 'float64', 'empty', 'float64', 'empty', 'float64', 'empty', 'float16', 'empty', 'float32', 'empty', 'float32', 'empty', 'float32', 'empty', 'complex64', 'empty', 'float32', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'float32', 'empty', 'complex64', 'empty', 'complex64', 'empty', 'empty', 'empty', 'empty', 'array', 'array', 'empty', 'empty', 'empty', 'array', 'empty', 'empty', 'empty']","['empty([0, 0])', 'empty(shape=(0, 0), dtype=np.float64))', 'empty(shape=(0, 0), dtype=np.float64))', 'empty(shape=(0, 0), dtype=np.float64))', 'empty([0, 3], dtype=np.float16)', 'empty(shape=(0, 0), dtype=np.float32))', 'empty(shape=(0, 0), dtype=np.float32))', 'empty(shape=(0, 3), dtype=np.float32))', 'empty([3, 0], dtype=np.complex64)', 'empty(shape=(0, 0), dtype=np.float32))', 'empty(shape=(3, 0), dtype=np.complex64))', 'empty(shape=(0, 0), dtype=np.complex64))', 'empty(shape=(0,), dtype=int))', 'empty(shape=(3, 0), dtype=np.complex64))', 'empty(shape=(0, 0), dtype=np.complex64))', 'empty(shape=(3, 0), dtype=np.complex64))', 'empty(shape=(0, 0), dtype=np.complex64))', 'empty([3, 0, 0], dtype=np.complex64)', 'empty(shape=(3, 0, 0), dtype=np.float32))', 'empty(shape=(3, 0, 0), dtype=np.complex64))', 'empty(shape=(3, 0, 0), dtype=np.complex64))', 'empty([0, 0, 3])', 'empty(shape=(0, 0, 0)))', 'empty(shape=(0, 0, 0)))', 'empty(shape=(0, 0, 3)))', 'array([]))', 'array([[]])', 'empty(shape=(0, 0)))', 'empty(shape=(1, 0)))', 'empty(shape=(0, 0)))', 'array([[[]]])', 'empty(shape=(1, 0, 0)))', 'empty(shape=(1, 1, 0)))', 'empty(shape=(1, 0, 0)))']"
3,13300,/signal/_filter_design.py_gammatone,52,"['pi', 'log10', 'arange', 'exp', 'pi', 'cos', 'pi', 'pi', 'pi', 'pi', 'exp', 'exp', 'sqrt', 'sin', 'sqrt', 'sin', 'exp', 'cos', 'cos', 'cos', 'cos', 'exp', 'exp', 'abs', 'empty', 'empty', 'cos', 'exp', 'cos', 'exp', 'cos', 'exp', 'cos', 'exp', 'cos', 'exp', 'cos', 'exp', 'cos', 'cos', 'exp', 'cos', 'cos', 'exp', 'cos', 'cos', 'exp', 'cos', 'exp', 'cos', 'exp', 'exp']","['log10(abs(h)))', 'arange(numtaps)', 'exp(-2 * np.pi * bw * t)', 'cos(2 * np.pi * freq * t)', 'exp(2j * fr)', 'exp(-(bwT) + 1j * fr)', 'sqrt(3 + 2 ** (3 / 2)) * np.sin(fr)', 'sqrt(3 - 2 ** (3 / 2)) * np.sin(fr)', 'exp(2j * fr)', 'cos(fr) - g4)', 'cos(fr) + g4))', 'cos(fr) - g3))', 'cos(fr) + g3))', 'exp(2 * bwT) - 2 * g5 + 2 * (1 + g5) / np.exp(bwT)) ** 4)', 'abs(g)', 'empty(5)', 'empty(9)', 'cos(fr) / np.exp(bw * T)', 'cos(2 * fr) / np.exp(2 * bw * T)', 'cos(3 * fr) / np.exp(3 * bw * T)', 'cos(4 * fr) / np.exp(4 * bw * T)', 'cos(fr) / np.exp(bw * T)', 'cos(2 * fr)) / np.exp(2 * bw * T)', 'cos(fr) + np.cos(3 * fr))', 'exp(3 * bw * T)', 'cos(2 * fr) + np.cos(4 * fr))', 'exp(4 * bw * T)', 'cos(fr) + np.cos(3 * fr))', 'exp(5 * bw * T)', 'cos(2 * fr)) / np.exp(6 * bw * T)', 'cos(fr) / np.exp(7 * bw * T)', 'exp(-8 * bw * T)']"
4,16996,/stats/_binned_statistic.py_binned_statistic_dd,51,"['array', 'array', 'linspace', 'linspace', 'arange', 'meshgrid', 'errstate', 'arange', 'isfinite', 'atleast_2d', 'asarray', 'atleast_2d', 'array', 'diff', 'result_type', 'float64', 'empty', 'mean', 'nan', 'std', 'nan', 'sqrt', 'conj', 'real', 'empty', 'float64', 'arange', 'newaxis', 'sum', 'arange', 'median', 'nan', 'lexsort', 'unique', 'floor', 'ceil', 'min', 'nan', 'argsort', 'max', 'nan', 'argsort', 'errstate', 'nan', 'iscomplexobj', 'complex128', 'complex128', 'append', 'asarray', 'unravel_index', 'any']","['array([0., 1.])', 'array([[1., -0.5],[-0.5, 1.5]])', 'linspace(-3, 3, N)', 'linspace(-3, 4, N)', 'arange(600)', 'meshgrid(x[:-1]+dx/2, y[:-1]+dy/2)', ""errstate(divide='ignore')"", 'arange(600)', 'isfinite(sample).all()', 'atleast_2d(sample)', 'asarray(values)', 'atleast_2d(values)', 'array([len(edges[i]) + 1 for i in builtins.range(Ndim)])', 'diff(edges[i]) for i in builtins.range(Ndim)', 'result_type(values, np.float64)', 'empty([Vdim, nbin.prod()], dtype=result_type)', 'conj(delta))', 'real(result)', 'empty([Vdim, nbin.prod()], dtype=np.float64)', 'arange(len(flatcount))', 'arange(len(flatsum))', 'lexsort((values[vv], binnumbers))', 'floor(mid).astype(int)', 'ceil(mid).astype(int)', 'argsort(values[vv])', 'argsort(values[vv])', ""errstate(invalid='ignore'), catch_warnings()"", 'iscomplexobj(null)', 'append(Vdim, nbin))', 'asarray(np.unravel_index(binnumbers, nbin))', 'any(result.shape[1:] != nbin - 2)']"
5,2038,/optimize/tests/test_optimize.py_test_line_for_search,45,"['array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'array', 'inf', 'inf', 'array', 'inf', 'inf', 'array', 'inf', 'inf', 'array', 'array', 'inf', 'array', 'inf', 'array', 'array', 'inf', 'array', 'inf', 'inf', 'array', 'array', 'inf', 'array', 'inf', 'array', 'array', 'inf']","['array([-5.3, -1, -1.5, -3])', 'array([1.9, 1, 2.8, 3])', 'array([0., 0, 0, 0])', 'array([0., 2, -3, 0])', 'array([1., 0, 0, 0]), -5.3, 1.9)', 'array([0., 1, 0, 0]), -1, 1)', 'array([0., 0, 1, 0]), -1.5, 2.8)', 'array([0., 0, 0, 1]), -3, 3)', 'array([1., 1, 0, 0]), -1, 1)', 'array([1., 0, -1, 2]), -1.5, 1.5)', 'array([2., 0, -1, 2]), -1.5, 0.95)', 'array([1., 0, 0, 0]), -5.3, 1.9)', 'array([0., 1, 0, 0]), -3, -1)', 'array([0., 0, 1, 0]), 1.5, 5.8)', 'array([0., 0, 0, 1]), -3, 3)', 'array([1., 1, 0, 0]), -3, -1)', 'array([1., 0, -1, 0]), -5.3, -1.5)', 'array([-np.inf, -1, -np.inf, -3])', 'array([np.inf, 1, 2.8, np.inf])', 'array([1., 0, 0, 0]), -np.inf, np.inf)', 'array([0., 1, 0, 0]), -1, 1)', 'array([0., 0, 1, 0]), -np.inf, 2.8)', 'array([0., 0, 0, 1]), -3, np.inf)', 'array([1., 1, 0, 0]), -1, 1)', 'array([1., 0, -1, 2]), -1.5, np.inf)', 'array([1., 0, 0, 0]), -np.inf, np.inf)', 'array([0., 1, 0, 0]), -3, -1)', 'array([0., 0, 1, 0]), -np.inf, 5.8)', 'array([0., 0, 0, 1]), -3, np.inf)', 'array([1., 1, 0, 0]), -3, -1)', 'array([1., 0, -1, 0]), -5.8, np.inf)']"
6,7241,/special/tests/test_basic.py_test_expm1_complex,45,"['inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'nan', 'nan', 'inf', 'nan', 'nan', 'inf', 'inf', 'inf', 'nan', 'inf', 'inf', 'inf', 'nan', 'inf', 'nan', 'inf', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",[]
7,13471,/signal/_ltisys.py_place_poles,45,"['array', 'array', 'array', 'linalg.det', 'linalg.det', 'linalg.det', 'linalg.det', 'array', 'array', 'array', 'linspace', 'pi', 'cos', 'sin', 'linalg.matrix_rank', 'zeros', 'real', 'isreal', 'imag', 'real', 'imag', 'linalg.lstsq', 'eye', 'nan', 'nan', 'dot', 'eye', 'sum', 'newaxis', 'linalg.norm', 'isreal', 'hstack', 'real', 'imag', 'hstack', 'isreal', 'linalg.solve', 'dot', 'diag', 'linalg.solve', 'dot', 'linalg.LinAlgError', 'real', 'linalg.eig', 'dot']","['array([-0.2, -0.5, -5.0566, -8.6659])', 'linalg.det(fsf1.X)) < abs(np.linalg.det(fsf2.X))', 'linalg.det(fsf2.X)) < abs(np.linalg.det(fsf3.X))', 'array([-3, -1, -2-1j, -2+1j])', 'linspace(0, 2*np.pi, 401)', ""cos(t), np.sin(t), 'k--')"", 'linalg.matrix_rank(B)', 'zeros(A.shape)', 'real(p)', 'isreal(p)', 'imag(p)', 'real(p)', 'imag(p)', 'linalg.lstsq(B, diag_poles-A, rcond=-1)', 'eye(A.shape[0])', 'dot(u1.T, A-poles[j]*np.eye(B.shape[0]))', 'sum(ker_pole_j, axis=1)', 'linalg.norm(transfer_matrix_j))', 'isreal(poles[j])', 'hstack([np.real(transfer_matrix_j)', 'imag(transfer_matrix_j)])', 'hstack((transfer_matrix, transfer_matrix_j))', 'isreal(poles[idx])', 'linalg.solve(transfer_matrix.T, np.dot(np.diag(poles)', 'linalg.solve(z, np.dot(u0.T, m-A))', 'real(gain_matrix)', 'linalg.eig(A - np.dot(B, gain_matrix))']"
8,4308,/integrate/_tanhsinh.py__tanhsinh,44,"['exp', 'inf', 'inf', 'sqrt', 'pi', 'inf', 'inf', 'exp', 'exp', 'linspace', 'allclose', 'errstate', 'isinf', 'isinf', 'isinf', 'isinf', 'isnan', 'broadcast_to', 'broadcast_to', 'inf', 'pi', 'finfo', 'log', 'full', 'isnan', 'isnan', 'isnan', 'nan', 'empty_like', 'full', 'nan', 'full', 'real', 'full', 'inf', 'full', 'nan', 'zeros', 'full', 'inf', 'full', 'nan', 'zeros', 'zeros']","['exp(-x**2)', 'sqrt(np.pi)', 'exp(res.integral), np.exp(res.error)', 'linspace(a, b, 100)', 'allclose(res.integral, ref)', ""errstate(over='ignore', invalid='ignore', divide='ignore')"", 'isinf(a)] = b[np.isinf(a)', 'isinf(b)] = a[np.isinf(b)', 'isnan(c)', 'broadcast_to(a, shape).astype(dtype).ravel()', 'broadcast_to(b, shape).astype(dtype).ravel()', 'finfo(dtype)', 'log(eps)', 'full(shape, zero, dtype=dtype).ravel()', 'isnan(a) | np.isnan(b) | np.isnan(fs[0])', 'empty_like(Sn).reshape(-1, 1)', 'full(shape, np.nan, dtype=dtype).ravel()', 'full(shape, _EINPROGRESS, dtype=int).ravel()', 'real(_get_base_step(dtype=dtype))', 'full(shape, -np.inf, dtype=dtype).ravel()', 'full(shape, np.nan, dtype=dtype).ravel()', 'zeros(shape, dtype=dtype).ravel()', 'full(shape, np.inf, dtype=dtype).ravel()', 'full(shape, np.nan, dtype=dtype).ravel()', 'zeros(shape, dtype=dtype).ravel()', 'zeros(shape, dtype=dtype).ravel()']"
9,5109,/interpolate/_bsplines.py_make_interp_spline,43,"['arange', 'cos', 'pi', 'sqrt', 'allclose', 'allclose', 'allclose', 'linspace', 'pi', 'cos', 'cos', 'sin', 'c_', 'linspace', 'pi', 'linspace', 'pi', 'array', 'sin', 'cos', 'linspace', 'pi', 'asarray', 'moveaxis', 'allclose', 'any', 'any', 'r_', 'asarray', 'ascontiguousarray', 'r_', 'asarray', 'ascontiguousarray', 'r_', 'any', 'zeros', 'zeros', 'float64', 'dtype', 'dtype', 'empty', 'asarray_chkfinite', 'ascontiguousarray']","['arange(N)', 'cos(np.pi * jj / 2 / N)', 'sqrt(1 - x**2)', 'allclose(b(x), y)', 'allclose(b_n(x), y)', 'allclose([b_n(x0, 2), b_n(x1, 2)], [0, 0])', 'linspace(0, 2.*np.pi, 40)', 'cos(phi)', 'cos(phi), r*np.sin(phi)', 'linspace(0, 2.*np.pi, 100)', 'linspace(0, 2*np.pi, 10)', 'array([np.sin(x), np.cos(x)])', 'linspace(0, 2*np.pi, 100)', 'asarray(y)', 'moveaxis(y, axis, 0)', 'allclose(y[0], y[-1], atol=1e-15)', 'any(x[1:] == x[:-1])', 'any(x[1:] < x[:-1])', 'asarray(y)', 'ascontiguousarray(c, dtype=_get_dtype(c.dtype))', 'asarray(y)', 'ascontiguousarray(c, dtype=_get_dtype(c.dtype))', 'any(t[1:] < t[:-1])', 'zeros((nt,) + y.shape[1:], dtype=float)', ""zeros((2*kl + ku + 1, nt), dtype=np.float64, order='F')"", 'dtype(""long"")))', 'dtype(""long""))', 'empty((nt, extradim), dtype=y.dtype)', 'ascontiguousarray(c.reshape((nt,) + y.shape[1:]))']"
