scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/__init__.py___dir__,1.0,0,0,[],[]
/__init__.py___getattr__,1.0,0,0,[],[]
/_build_utils/src/wrap_g77_abi_c.c_WRAP_F77,1.0,0,0,[],[]
/_build_utils/system_info.py_combine_dict,1.0,0,0,[],[]
/_build_utils/tempita.py_main,1.0,0,0,[],[]
/_build_utils/tempita.py_process_tempita,1.0,0,0,[],[]
/_lib/_array_api.py__asarray,1.0,0,0,[],[]
/_lib/_array_api.py__assert_matching_namespace,1.0,0,0,[],[]
/_lib/_array_api.py__check_finite,1.0,0,0,[],[]
/_lib/_array_api.py__check_scalar,1.0,0,0,[],[]
/_lib/_array_api.py__strict_check,1.0,0,0,[],[]
/_lib/_array_api.py_array_namespace,1.0,0,0,[],[]
/_lib/_array_api.py_atleast_nd,1.0,0,0,[],[]
/_lib/_array_api.py_compliance_scipy,0.0,8,0,"['issubdtype' 'number' 'bool_' 'matrix' 'ma.MaskedArray' 'ndarray'
 'generic' 'asanyarray']",[]
/_lib/_array_api.py_copy,0.0,1,0,['copy'],[]
/_lib/_array_api.py_cov,1.0,0,0,[],[]
/_lib/_array_api.py_is_complex,1.0,0,0,[],[]
/_lib/_array_api.py_is_cupy,1.0,0,0,[],[]
/_lib/_array_api.py_is_numpy,1.0,0,0,[],[]
/_lib/_array_api.py_is_torch,1.0,0,0,[],[]
/_lib/_array_api.py_xp_assert_close,0.0,1,0,['testing.assert_allclose'],[]
/_lib/_array_api.py_xp_assert_equal,0.0,1,0,['testing.assert_array_equal'],[]
/_lib/_array_api.py_xp_assert_less,0.0,1,0,['testing.assert_array_less'],[]
/_lib/_array_api.py_xp_unsupported_param_msg,1.0,0,0,[],[]
/_lib/_boost_utils.py__boost_dir,1.0,0,0,[],[]
/_lib/_bunch.py___getnewargs_ex__,1.0,0,0,[],[]
/_lib/_bunch.py___repr__,1.0,0,0,[],[]
/_lib/_bunch.py__asdict,1.0,0,0,[],[]
/_lib/_bunch.py__get,1.0,0,0,[],[]
/_lib/_bunch.py__make_tuple_bunch,1.0,0,0,[],[]
/_lib/_bunch.py__validate_names,1.0,0,0,[],[]
/_lib/_ccallback.py___getitem__,1.0,0,0,[],[]
/_lib/_ccallback.py___new__,1.0,0,0,[],[]
/_lib/_ccallback.py___repr__,1.0,0,0,[],[]
/_lib/_ccallback.py__get_cffi_data,1.0,0,0,[],[]
/_lib/_ccallback.py__get_cffi_func,1.0,0,0,[],[]
/_lib/_ccallback.py__get_ctypes_data,1.0,0,0,[],[]
/_lib/_ccallback.py__get_ctypes_func,1.0,0,0,[],[]
/_lib/_ccallback.py__import_cffi,1.0,0,0,[],[]
/_lib/_ccallback.py__parse_callback,1.0,0,0,[],[]
/_lib/_ccallback.py__typename_from_ctypes,1.0,0,0,[],[]
/_lib/_ccallback.py_from_cython,1.0,0,0,[],[]
/_lib/_ccallback.py_function,1.0,0,0,[],[]
/_lib/_ccallback.py_signature,1.0,0,0,[],[]
/_lib/_ccallback.py_user_data,1.0,0,0,[],[]
/_lib/_disjoint_set.py___contains__,1.0,0,0,[],[]
/_lib/_disjoint_set.py___getitem__,1.0,0,0,[],[]
/_lib/_disjoint_set.py___init__,1.0,0,0,[],[]
/_lib/_disjoint_set.py___iter__,1.0,0,0,[],[]
/_lib/_disjoint_set.py___len__,1.0,0,0,[],[]
/_lib/_disjoint_set.py_add,1.0,0,0,[],[]
/_lib/_disjoint_set.py_connected,1.0,0,0,[],[]
/_lib/_disjoint_set.py_merge,1.0,0,0,[],[]
/_lib/_disjoint_set.py_subset,1.0,0,0,[],[]
/_lib/_disjoint_set.py_subset_size,1.0,0,0,[],[]
/_lib/_disjoint_set.py_subsets,1.0,0,0,[],[]
/_lib/_docscrape.py___getitem__,1.0,0,0,[],[]
/_lib/_docscrape.py___init__,1.0,0,0,[],[]
/_lib/_docscrape.py___iter__,1.0,0,0,[],[]
/_lib/_docscrape.py___len__,1.0,0,0,[],[]
/_lib/_docscrape.py___setitem__,1.0,0,0,[],[]
/_lib/_docscrape.py___str__,1.0,0,0,[],[]
/_lib/_docscrape.py__error_location,1.0,0,0,[],[]
/_lib/_docscrape.py__is_at_section,1.0,0,0,[],[]
/_lib/_docscrape.py__is_show_member,1.0,0,0,[],[]
/_lib/_docscrape.py__parse,1.0,0,0,[],[]
/_lib/_docscrape.py__parse_index,1.0,0,0,[],[]
/_lib/_docscrape.py__parse_param_list,1.0,0,0,[],[]
/_lib/_docscrape.py__parse_see_also,1.0,0,0,[],[]
/_lib/_docscrape.py__parse_summary,1.0,0,0,[],[]
/_lib/_docscrape.py__read_sections,1.0,0,0,[],[]
