,np_call,np_args,total_np_calls,num_scipy_funs_used_by
0,array,dtype,477,291
1,zeros,dtype,312,215
2,asarray,dtype,217,136
3,empty,dtype,205,113
4,all,,175,111
5,arange,dtype,134,93
6,errstate,invalid,109,85
7,sum,axis,124,81
8,ones,dtype,111,79
9,errstate,divide,66,55
10,array,copy,54,42
11,linspace,endpoint,73,41
12,errstate,all,42,40
13,concatenate,axis,58,37
14,linspace,num,42,37
15,any,,39,33
16,mean,axis,52,31
17,errstate,over,36,26
18,eye,dtype,33,26
19,linalg.norm,axis,27,24
20,where,,34,23
21,random.normal,size,34,21
22,zeros_like,dtype,24,20
23,random.randint,size,29,17
24,full,fill_value,24,17
25,random.uniform,size,19,17
26,allclose,atol,17,17
27,full,dtype,23,16
28,ones,fs,23,15
29,asarray,order,21,15
30,sort,axis,17,15
31,logical_and,,62,14
32,sort,size,23,14
33,abs,axis,27,13
34,ones,hop,20,13
35,zeros,order,14,12
36,std,ddof,12,12
37,ma.masked_array,mask,25,11
38,ndarray,shape,24,11
39,ascontiguousarray,dtype,23,11
40,array,ndmin,20,11
41,empty,order,12,11
42,random.RandomState,seed,12,11
43,empty_like,dtype,16,10
44,expand_dims,axis,13,10
45,isclose,atol,12,10
46,allclose,rtol,10,10
47,sum,,26,9
48,ndarray,dtype,20,9
49,ma.array,mask,19,9
50,abs,,15,9
51,max,axis,15,9
52,full_like,dtype,9,9
53,empty,shape,38,8
54,diag,k,16,8
55,roll,axis,13,8
56,diff,axis,11,8
57,eye,solver,11,8
58,nonzero,,9,8
59,any,axis,12,7
60,eye,atol,11,7
61,argmax,axis,9,7
62,array,axis,8,7
63,array,rtol,8,7
64,average,weights,8,7
65,cumsum,axis,8,7
66,isnan,axis,8,7
67,std,axis,8,7
68,var,axis,8,7
69,var,ddof,8,7
70,argsort,axis,7,7
71,isclose,rtol,7,7
72,linalg.lstsq,rcond,7,7
73,random.random,size,7,7
74,testing.assert_allclose,atol,7,7
75,sqrt,size,11,6
76,delete,axis,10,6
77,tril_indices,k,9,6
78,all,axis,8,6
79,searchsorted,side,8,6
80,sign,,8,6
81,argmin,axis,7,6
82,array,scale,7,6
83,ones_like,dtype,7,6
84,pad,mode,7,6
85,amax,axis,6,6
86,array,order,6,6
87,frombuffer,dtype,6,6
88,set_printoptions,precision,6,6
89,unique,return_counts,6,6
90,zeros,size,6,6
91,logical_or,,26,5
92,take_along_axis,axis,11,5
93,array,size,9,5
94,sum,keepdims,8,5
95,zeros,shape,7,5
96,asarray,axis,6,5
97,cumsum,out,6,5
98,dot,atol,6,5
99,hstack,dtype,6,5
100,linalg.norm,keepdims,6,5
101,log10,color,6,5
102,sqrt,axis,6,5
103,argsort,kind,5,5
104,frombuffer,count,5,5
105,log,decimal,5,5
106,mean,ddof,5,5
107,unique,axis,5,5
108,meshgrid,indexing,15,4
109,sqrt,rtol,13,4
110,abs,atol,10,4
111,isscalar,,10,4
112,median,axis,9,4
113,allclose,norm,8,4
114,shape,,8,4
115,zeros,axis,7,4
116,zeros,inv_transform,7,4
117,eye,k,6,4
118,stack,axis,6,4
119,zeros,seed,6,4
120,arange,rtol,5,4
121,array,loc,5,4
122,linalg.norm,ord,5,4
123,log,axis,5,4
124,prod,axis,5,4
125,unique,,5,4
126,array,n,4,4
127,atleast_2d,dtype,4,4
128,concatenate,dtype,4,4
129,cumprod,axis,4,4
130,frombuffer,offset,4,4
131,histogram,bins,4,4
132,log,err_msg,4,4
133,mean,keepdims,4,4
134,ones,rtol,4,4
135,rec.fromarrays,names,4,4
136,sum,atol,4,4
137,sum,rtol,19,3
138,atleast_2d,check_finite,9,3
139,ones,shape,9,3
140,arange,label,6,3
141,arange,lw,6,3
142,isnan,,6,3
143,logspace,base,6,3
144,zeros_like,atol,6,3
145,array,decimal,5,3
146,zeros,,5,3
147,linalg.norm,,4,3
148,linalg.norm,atol,4,3
149,linalg.norm,rtol,4,3
150,min,axis,4,3
151,percentile,axis,4,3
152,random.exponential,size,4,3
153,random.multivariate_normal,size,4,3
154,testing.assert_allclose,rtol,4,3
155,tril,k,4,3
156,unique,return_inverse,4,3
157,abs,shading,3,3
158,amax,keepdims,3,3
159,apply_along_axis,arr,3,3
160,apply_along_axis,axis,3,3
161,arange,atol,3,3
162,arange,step,3,3
163,around,decimals,3,3
164,array,shape,3,3
165,diff,append,3,3
166,fft.fftfreq,d,3,3
167,full_like,fill_value,3,3
168,log,rtol,3,3
169,nonzero,axis,3,3
170,printoptions,precision,3,3
171,random.choice,size,3,3
172,random.dirichlet,size,3,3
173,random.normal,loc,3,3
174,set_printoptions,suppress,3,3
175,size,,3,3
176,triu,k,3,3
177,vstack,rtol,3,3
178,zeros,default,3,3
179,array,moments,7,2
180,log10,,7,2
181,exp,axis,6,2
182,can_cast,casting,5,2
183,insert,axis,5,2
184,log10,atol,5,2
185,real,,5,2
186,sum,dtype,5,2
187,tril_indices,,5,2
188,array,dt,4,2
189,array,floc,4,2
190,delete,,4,2
191,fromiter,count,4,2
192,fromiter,dtype,4,2
193,identity,atol,4,2
194,ones,axis,4,2
195,ones,fft_mode,4,2
196,swapaxes,axis,4,2
197,testing.assert_allclose,axis,4,2
198,abs,rtol,3,2
199,clip,a_max,3,2
200,clip,a_min,3,2
201,dot,axis,3,2
202,exp,rtol,3,2
203,eye,maxiter,3,2
204,finfo,rtol,3,2
205,isfinite,,3,2
206,isinf,,3,2
207,ma.masked_where,,3,2
208,ma.masked_where,copy,3,2
209,ones,scale_to,3,2
210,random.binomial,size,3,2
211,real,axis,3,2
212,round,decimals,3,2
213,unique,return_index,3,2
214,zeros,k,3,2
215,abs,high,2,2
216,abs,low,2,2
217,abs,size,2,2
218,abs,vmax,2,2
219,abs,vmin,2,2
220,allclose,axis,2,2
221,amin,axis,2,2
222,arange,,2,2
223,arange,axis,2,2
224,array,fscale,2,2
225,array,k,2,2
226,asanyarray,dtype,2,2
227,asarray,,2,2
228,asarray,method,2,2
229,atleast_2d,copy,2,2
230,convolve,mode,2,2
231,cov,rowvar,2,2
232,diag,,2,2
233,diff,,2,2
234,dtype,,2,2
235,empty,mask,2,2
236,exp,,2,2
237,eye,fix_cov,2,2
238,eye,rtol,2,2
239,eye,tol,2,2
240,flip,axis,2,2
241,full,shape,2,2
242,histogram2d,bins,2,2
243,histogramdd,bins,2,2
244,identity,dtype,2,2
245,isnan,bias,2,2
246,isnan,keepdims,2,2
247,issubdtype,,2,2
248,linalg.cond,p,2,2
249,ma.nonzero,,2,2
250,max,significant,2,2
251,ndarray,buffer,2,2
252,ndim,,2,2
253,ones,format,2,2
254,ones,index,2,2
255,ones,method,2,2
256,ones,nperseg,2,2
257,ones,worN,2,2
258,ptp,axis,2,2
259,put_along_axis,axis,2,2
260,random.normal,scale,2,2
261,repeat,axis,2,2
262,seterr,invalid,2,2
263,sort,atol,2,2
264,sqrt,atol,2,2
265,sqrt,ddof,2,2
266,sqrt,dtype,2,2
267,squeeze,axis,2,2
268,std,atol,2,2
269,take,axis,2,2
270,triu,dtype,2,2
271,unwrap,color,2,2
272,vectorize,excluded,2,2
273,vstack,atol,2,2
274,vstack,repeat,2,2
275,zeros,rtol,2,2
276,empty,axis,5,1
277,isfinite,b,5,1
278,log10,analog,5,1
279,isnan,fisher,4,1
280,union1d,key,4,1
281,arange,format,3,1
282,broadcast_to,copy,3,1
283,clip,copy,3,1
284,dtype,check_contents,3,1
285,exp,b,3,1
286,exp,format,3,1
287,isscalar,exact,3,1
288,ma.array,dtype,3,1
289,max,decimal,3,1
290,zeros,constraints,3,1
291,add,dtype,2,1
292,add,out,2,1
293,all,nu,2,1
294,angle,color,2,1
295,argmax,,2,1
296,array,f0,2,1
297,array,limit,2,1
298,atleast_1d,axis,2,1
299,bitwise_or,,2,1
300,correlate,mode,2,1
301,cos,c,2,1
302,cos,s,2,1
303,count_nonzero,,2,1
304,cov,bias,2,1
305,diagonal,offset,2,1
306,diff,prepend,2,1
307,einsum,,2,1
308,exp,lower_limit,2,1
309,eye,ncv,2,1
310,fft.fft,axis,2,1
311,fft.fftshift,axes,2,1
312,full,decimal,2,1
313,hstack,order,2,1
314,identity,rtol,2,1
315,iscomplexobj,dtype,2,1
316,isscalar,axis,2,1
317,isscalar,size,2,1
318,linspace,dtype,2,1
319,linspace,order,2,1
320,log,size,2,1
321,logspace,endpoint,2,1
322,matmul,out,2,1
323,multiply,dtype,2,1
324,nextafter,where,2,1
325,ones,blocksize,2,1
326,ones,cond,2,1
327,ones,driver,2,1
328,ones,rcond,2,1
329,ones,zi,2,1
330,pad,constant_values,2,1
331,percentile,atol,2,1
332,random.binomial,p,2,1
333,random.pareto,size,2,1
334,random.randn,leafsize,2,1
335,random.randn,mask,2,1
336,random.random_sample,size,2,1
337,sort,high,2,1
338,sort,kind,2,1
339,sort,low,2,1
340,sort,tail,2,1
341,sqrt,nobs2,2,1
342,std,,2,1
343,sum,dim,2,1
344,swapaxes,ord,2,1
345,swapaxes,padlen,2,1
346,tile,dtype,2,1
347,tril,assume_a,2,1
348,tril,transposed,2,1
349,vander,increasing,2,1
350,vstack,,2,1
351,zeros,detr,2,1
352,zeros,k1,2,1
353,zeros,random_state,2,1
354,zeros,scale,2,1
355,zeros_like,decimal,2,1
356,abs,cmap,1,1
357,abs,color,1,1
358,abs,linestyle,1,1
359,absolute,cmap,1,1
360,add.reduce,axis,1,1
361,add.reduceat,dtype,1,1
362,all,msg,1,1
363,amax,,1,1
364,angle,cmap,1,1
365,append,axis,1,1
366,apply_along_axis,ddof,1,1
367,apply_over_axes,,1,1
368,arange,distance,1,1
369,arange,order,1,1
370,arange,scale,1,1
371,arange,shape,1,1
372,arange,wlen,1,1
373,arange,xp,1,1
374,argmax,keepdims,1,1
375,argmin,keepdims,1,1
376,argsort,copy,1,1
377,argwhere,,1,1
378,array,,1,1
379,array,atol,1,1
380,array,axes,1,1
381,array,fs,1,1
382,array,hop,1,1
383,array,padding,1,1
384,array,repeat,1,1
385,array,restrt,1,1
386,array2string,precision,1,1
387,asanyarray,axis,1,1
388,asarray,atol,1,1
389,asarray,ddof,1,1
390,asarray,elements,1,1
391,asarray,err_msg,1,1
392,asarray,mest,1,1
393,asarray,moments,1,1
394,asarray,nan_policy,1,1
395,asarray,x,1,1
396,asfortranarray,dtype,1,1
397,atleast_2d,metric,1,1
398,atleast_3d,a,1,1
399,average,,1,1
400,average,axis,1,1
401,bincount,,1,1
402,bincount,copy,1,1
403,bincount,dtype,1,1
404,bitwise_and,,1,1
405,broadcast_arrays,rtol,1,1
406,broadcast_to,,1,1
407,broadcast_to,axis,1,1
408,broadcast_to,dtype,1,1
409,broadcast_to,order,1,1
410,broadcast_to,subok,1,1
411,choose,,1,1
412,clip,out,1,1
413,concatenate,,1,1
414,concatenate,batch,1,1
415,concatenate,rtol,1,1
416,conj,key,1,1
417,corrcoef,rowvar,1,1
418,cos,endpoint,1,1
419,cos,fc,1,1
420,cos,size,1,1
421,cos,x,1,1
422,count_nonzero,axis,1,1
423,cov,rtol,1,1
424,cumsum,dtype,1,1
425,diag,atol,1,1
426,diag,axis,1,1
427,diag,rtol,1,1
428,diag_indices,,1,1
429,dot,,1,1
430,dot,err_msg,1,1
431,dstack,c22.shape,1,1
432,dstack,shape,1,1
433,dstack,x.shape,1,1
434,dtype,align,1,1
435,dtype,maxval,1,1
436,empty,gpower,1,1
437,empty,onem2gpower,1,1
438,empty,twogpower,1,1
439,empty,v_ineq,1,1
440,exp,atol,1,1
441,exp,dtype,1,1
442,exp,dx,1,1
443,exp,out,1,1
444,exp,random_state,1,1
445,exp,size,1,1
446,exp,xj,1,1
447,expand_dims,atol,1,1
448,extract,,1,1
449,eye,df,1,1
450,eye,fix_mean,1,1
451,eye,form,1,1
452,eye,order,1,1
453,eye,pivoting,1,1
454,eye,return_singular_vectors,1,1
455,eye,which,1,1
456,fabs,rtol,1,1
457,fft.ifft,axis,1,1
458,fft.ifftshift,axes,1,1
459,fft.rfftfreq,d,1,1
460,flip,fs,1,1
461,flip,hop,1,1
462,float64,,1,1
463,format_float_scientific,pad_left,1,1
464,format_float_scientific,precision,1,1
465,format_float_scientific,unique,1,1
466,fromfile,count,1,1
