,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy
0,array,4267,2054,True
1,arange,1265,836,True
2,zeros,1065,702,True
3,asarray,1033,636,True
4,linspace,850,552,True
5,inf,1475,497,True
6,random.seed,546,452,True
7,ones,614,419,True
8,nan,1325,413,True
9,random.default_rng,435,380,True
10,pi,855,370,True
11,float64,546,357,True
12,sqrt,633,345,True
13,abs,595,294,True
14,exp,637,277,True
15,empty,469,267,True
16,sum,454,267,True
17,random.rand,480,262,True
18,eye,351,220,True
19,dot,435,210,True
20,isnan,374,204,True
21,all,328,194,True
22,sin,279,194,True
23,log,506,193,True
24,float32,292,177,True
25,ndarray,262,177,True
26,random.RandomState,187,164,True
27,errstate,208,163,True
28,concatenate,232,151,True
29,full,215,147,True
30,random.randn,286,146,True
31,any,199,137,True
32,cos,221,134,True
33,allclose,203,134,True
34,diag,251,129,True
35,finfo,185,125,True
36,sort,158,121,True
37,issubdtype,188,118,True
38,vstack,147,113,True
39,isfinite,203,111,True
40,max,155,109,True
41,linalg.norm,146,106,True
42,mean,172,104,True
43,hstack,149,96,True
44,newaxis,266,91,True
45,r_,126,89,True
46,dtype,129,88,True
47,zeros_like,110,88,True
48,int64,150,86,True
49,random.random,159,84,True
50,diff,112,83,True
51,atleast_1d,113,82,True
52,complex128,119,80,True
53,int32,147,79,True
54,complex64,134,79,True
55,log10,104,75,True
56,atleast_2d,86,70,True
57,where,119,66,True
58,prod,88,65,True
59,maximum,79,61,True
60,real,83,57,True
61,unique,65,56,True
62,logspace,82,52,True
63,min,76,52,True
64,broadcast_arrays,63,52,True
65,ones_like,62,52,True
66,moveaxis,86,51,True
67,intp,75,51,True
68,power,89,49,True
69,copy,67,49,True
70,empty_like,62,48,True
71,broadcast_to,73,47,True
72,int8,66,44,True
73,iscomplexobj,61,44,True
74,sign,71,43,True
75,isscalar,65,43,True
76,complexfloating,63,43,True
77,identity,88,42,True
78,result_type,52,42,True
79,array_equal,78,41,True
80,isinf,65,41,True
81,insert,46,41,True
82,uint8,43,41,True
83,argsort,57,40,True
84,meshgrid,50,38,True
85,shape,94,37,True
86,delete,48,37,True
87,clip,56,36,True
88,nonzero,51,36,True
89,random.randint,63,35,True
90,repeat,62,35,True
91,integer,44,35,True
92,round,45,34,True
93,std,44,34,True
94,cumsum,43,34,True
95,argmax,42,33,True
96,triu,57,31,True
97,conj,56,31,True
98,random,42,31,True
99,tile,59,30,True
100,int16,45,29,True
101,random.normal,44,29,True
102,bool_,41,28,True
103,ceil,31,28,True
104,vectorize,31,28,True
105,asfortranarray,29,28,True
106,testing.assert_allclose,49,27,True
107,size,43,27,True
108,reshape,36,27,True
109,floor,30,27,True
110,random.uniform,40,26,True
111,float16,32,26,True
112,matrix,35,25,True
113,outer,29,25,True
114,tan,42,24,True
115,ravel,31,24,True
116,minimum,30,24,True
117,c_,28,24,True
118,asanyarray,27,24,True
119,nextafter,42,23,True
120,ascontiguousarray,41,23,True
121,argmin,29,23,True
122,full_like,29,22,True
123,iinfo,29,22,True
124,imag,62,21,True
125,angle,53,21,True
