,np_call,np_args,total_np_calls,num_sklearn_funs_used_by
0,array,dtype,286,173
1,zeros,dtype,173,123
2,ones,dtype,77,67
3,all,,95,63
4,asarray,dtype,87,61
5,empty,dtype,60,47
6,sum,axis,52,42
7,mean,axis,46,40
8,argmax,axis,49,35
9,average,weights,57,33
10,mean,,49,28
11,zeros,shape,34,28
12,full,dtype,34,27
13,arange,dtype,28,26
14,random.RandomState,seed,26,26
15,concatenate,axis,31,25
16,ones,shape,26,25
17,sum,,44,23
18,where,,26,20
19,unique,return_inverse,23,20
20,var,axis,21,17
21,zeros_like,dtype,17,16
22,average,axis,21,15
23,linspace,num,20,15
24,max,axis,17,14
25,bincount,minlength,15,14
26,clip,out,14,14
27,random.RandomState,size,13,13
28,errstate,invalid,15,12
29,errstate,divide,13,12
30,repeat,axis,19,11
31,asarray,order,17,11
32,flatnonzero,,15,11
33,sqrt,axis,14,11
34,median,axis,12,11
35,all,axis,12,10
36,any,,12,10
37,asarray,axis,14,9
38,argsort,kind,12,9
39,linalg.norm,axis,10,9
40,std,axis,9,9
41,abs,axis,13,8
42,var,ddof,12,8
43,full,fill_value,10,8
44,ones_like,dtype,9,8
45,random.randint,size,9,8
46,percentile,q,8,8
47,unique,,10,7
48,percentile,axis,8,7
49,logical_or,,12,6
50,diff,,10,6
51,errstate,all,7,6
52,asarray,,9,5
53,array,axis,7,5
54,abs,out,6,5
55,bincount,weights,6,5
56,full,shape,6,5
57,unique,return_counts,6,5
58,zeros,order,6,5
59,argsort,axis,5,5
60,around,decimals,5,5
61,asfortranarray,dtype,5,5
62,empty_like,dtype,5,5
63,sort,axis,5,5
64,dot,decimal,8,4
65,empty,order,8,4
66,empty,shape,7,4
67,argmin,axis,5,4
68,clip,a_max,5,4
69,clip,a_min,5,4
70,cov,bias,5,4
71,array,,4,4
72,array,copy,4,4
73,exp,out,4,4
74,linalg.matrix_rank,,4,4
75,maximum,out,4,4
76,zeros,size,4,4
77,abs,,8,3
78,array,order,7,3
79,allclose,atol,6,3
80,allclose,rtol,6,3
81,count_nonzero,,5,3
82,min,axis,5,3
83,random.uniform,size,5,3
84,var,,5,3
85,append,axis,4,3
86,array,metric,4,3
87,concatenate,size,4,3
88,dot,axis,4,3
89,ones,,4,3
90,ones,order,4,3
91,random.randint,dtype,4,3
92,array,repeat,3,3
93,exp,axis,3,3
94,frombuffer,dtype,3,3
95,fromiter,dtype,3,3
96,full_like,fill_value,3,3
97,linalg.norm,ord,3,3
98,sum,dtype,3,3
99,unique,y,3,3
100,vstack,copy,3,3
101,vstack,decimal,3,3
102,zeros_like,order,3,3
103,array,average,5,2
104,bincount,atol,4,2
105,cumsum,axis,4,2
106,logical_and,,4,2
107,ma.average,weights,4,2
108,ravel,axis,4,2
109,sin,axis,4,2
110,squeeze,axis,4,2
111,arange,,3,2
112,diag,atol,3,2
113,dot,atol,3,2
114,dot,check_finite,3,2
115,exp,atol,3,2
116,hstack,,3,2
