,function_np,total_np_calls,num_sklearn_funs_used_by,used_by_sklearn
0,nan,6079,4973,True
1,array,2180,1026,True
2,random.RandomState,840,811,True
3,zeros,529,354,True
4,float64,517,332,True
5,ones,440,318,True
6,arange,388,300,True
7,float32,419,256,True
8,asarray,323,211,True
9,dot,337,206,True
10,unique,247,183,True
11,sum,291,180,True
12,abs,257,165,True
13,mean,201,143,True
14,newaxis,212,130,True
15,all,166,114,True
16,sqrt,165,114,True
17,inf,216,99,True
18,empty,137,99,True
19,log,153,92,True
20,vstack,118,85,True
21,linspace,122,84,True
22,int32,124,82,True
23,exp,110,75,True
24,ndarray,92,69,True
25,hstack,79,69,True
26,full,89,67,True
27,concatenate,88,66,True
28,int64,92,65,True
29,isnan,92,64,True
30,bincount,77,57,True
31,max,71,57,True
32,finfo,69,57,True
33,argmax,65,52,True
34,where,62,50,True
35,zeros_like,59,49,True
36,c_,57,49,True
37,ones_like,48,46,True
38,any,63,44,True
39,eye,48,42,True
40,average,70,41,True
41,diag,65,39,True
42,isfinite,42,37,True
43,min,47,36,True
44,argsort,43,36,True
45,repeat,49,35,True
46,flatnonzero,44,34,True
47,diff,45,33,True
48,asfortranarray,38,33,True
49,pi,48,32,True
50,median,36,32,True
51,clip,33,31,True
52,intp,47,30,True
53,linalg.norm,41,30,True
54,sort,39,29,True
55,allclose,40,27,True
56,errstate,31,27,True
57,maximum,29,27,True
58,uint32,41,26,True
59,uint8,38,26,True
60,sign,40,24,True
61,sin,38,24,True
62,tile,30,24,True
63,r_,47,23,True
64,var,28,22,True
65,empty_like,39,21,True
66,atleast_2d,33,21,True
67,random.randn,23,20,True
68,random.mtrand.RandomState,20,20,True
69,reshape,32,19,True
70,atleast_1d,28,19,True
71,dtype,29,18,True
72,copy,21,18,True
73,ceil,20,18,True
74,percentile,19,18,True
75,cumsum,21,17,True
76,fill_diagonal,20,17,True
77,cos,22,16,True
78,minimum,22,16,True
79,testing.assert_allclose,21,16,True
80,issubdtype,17,16,True
81,std,17,16,True
82,logical_not,19,15,True
83,searchsorted,19,15,True
84,ravel,22,14,True
85,iinfo,18,13,True
86,bool_,15,13,True
87,logspace,15,13,True
88,array_equal,19,12,True
89,count_nonzero,17,12,True
90,isin,15,12,True
91,int8,14,12,True
92,append,21,11,True
93,cov,18,11,True
94,log2,16,11,True
95,isclose,14,11,True
96,intersect1d,12,11,True
97,random.rand,12,11,True
98,size,23,10,True
99,transpose,14,10,True
100,round,13,10,True
101,random.randint,12,10,True
102,ascontiguousarray,11,10,True
103,logical_or,11,10,True
104,random.default_rng,10,10,True
105,testing.assert_equal,21,9,True
106,outer,12,9,True
107,prod,10,9,True
108,full_like,9,9,True
109,squeeze,12,8,True
110,argmin,10,8,True
111,testing.assert_array_equal,10,8,True
112,isscalar,9,8,True
113,around,13,7,True
114,setdiff1d,10,7,True
115,nonzero,8,7,True
116,trace,8,7,True
117,isinf,7,7,True
118,take,8,6,True
119,identity,6,6,True
120,ptp,6,6,True
121,resize,13,5,True
122,may_share_memory,9,5,True
123,float16,8,5,True
124,logaddexp,8,5,True
125,int16,7,5,True
126,matrix,7,5,True
127,expand_dims,6,5,True
128,linalg.inv,6,5,True
129,column_stack,5,5,True
130,corrcoef,5,5,True
131,delete,5,5,True
132,einsum,5,5,True
133,fromiter,5,5,True
134,power,9,4,True
135,random.random,7,4,True
136,intc,6,4,True
137,random.uniform,6,4,True
138,divide,4,4,True
139,floating,4,4,True
140,linalg.matrix_rank,4,4,True
141,linalg.multi_dot,4,4,True
142,linalg.svd,4,4,True
143,multiply,4,4,True
144,nan_to_num,4,4,True
145,rollaxis,4,4,True
146,testing.assert_array_almost_equal,4,4,True
147,frombuffer,7,3,True
148,log10,7,3,True
149,interp,5,3,True
150,nanmean,5,3,True
151,ix_,4,3,True
152,log1p,4,3,True
153,ma.array,4,3,True
154,meshgrid,4,3,True
155,random,4,3,True
156,split,4,3,True
157,amin,3,3,True
158,argpartition,3,3,True
159,floor,3,3,True
160,greater,3,3,True
161,indices,3,3,True
162,integer,3,3,True
163,iterable,3,3,True
164,less,3,3,True
165,less_equal,3,3,True
166,linalg.LinAlgError,3,3,True
167,logical_and,3,3,True
168,nanpercentile,3,3,True
169,number,3,3,True
170,shape,3,3,True
171,tanh,3,3,True
172,dstack,7,2,True
173,shares_memory,7,2,True
174,compress,4,2,True
175,insert,4,2,True
176,ma.average,4,2,True
177,matmul,4,2,True
178,ndim,4,2,True
179,euler_gamma,3,2,True
180,expm1,3,2,True
181,flags,3,2,True
182,loadtxt,3,2,True
183,not_equal,3,2,True
184,object_,3,2,True
185,random.mtrand._rand,3,2,True
186,result_type,3,2,True
187,add.at,2,2,True
188,amax,2,2,True
189,arcsin,2,2,True
190,array_equiv,2,2,True
191,array_split,2,2,True
192,asanyarray,2,2,True
193,can_cast,2,2,True
194,copyto,2,2,True
195,cosh,2,2,True
196,isfortran,2,2,True
197,linalg.lstsq,2,2,True
198,maximum.accumulate,2,2,True
199,memmap,2,2,True
200,mod,2,2,True
201,nanmin,2,2,True
202,nansum,2,2,True
203,nanvar,2,2,True
204,net,2,2,True
205,nextafter,2,2,True
206,pad,2,2,True
207,random.choice,2,2,True
208,random.normal,2,2,True
209,random.permutation,2,2,True
210,require,2,2,True
211,rint,2,2,True
212,signedinteger,2,2,True
213,union1d,2,2,True
214,vectorize,2,2,True
215,quantile,3,1,True
216,diag_indices_from,2,1,True
217,inner,2,1,True
218,load,2,1,True
219,longlong,2,1,True
220,ma.MaskedArray,2,1,True
221,ma.getdata,2,1,True
222,ma.masked_invalid,2,1,True
223,ndarray.flatten,2,1,True
224,set_printoptions,2,1,True
225,seterr,2,1,True
226,spacing,2,1,True
227,square,2,1,True
228,swapaxes,2,1,True
229,vsplit,2,1,True
230,apply_along_axis,1,1,True
231,arctan,1,1,True
232,atleast_3d,1,1,True
233,conjugate,1,1,True
234,det,1,1,True
235,diagonal,1,1,True
236,double,1,1,True
237,ediff1d,1,1,True
238,equal,1,1,True
239,flat,1,1,True
240,fliplr,1,1,True
241,flipud,1,1,True
242,fmax,1,1,True
243,fmin,1,1,True
244,get_printoptions,1,1,True
245,greater_equal,1,1,True
246,histogram2d,1,1,True
247,lexsort,1,1,True
248,linalg.det,1,1,True
249,linalg.eig,1,1,True
250,linalg.qr,1,1,True
251,linalg.solve,1,1,True
252,ma.getmask,1,1,True
253,ma.getmaskarray,1,1,True
254,ma.masked_array,1,1,True
255,ma.mean,1,1,True
256,ma.median,1,1,True
257,mgrid,1,1,True
258,moveaxis,1,1,True
259,nanargmax,1,1,True
260,nanmedian,1,1,True
261,nanstd,1,1,True
262,put,1,1,True
263,random.sample,1,1,True
264,random.seed,1,1,True
265,real,1,1,True
266,rec.fromarrays,1,1,True
267,roll,1,1,True
268,stack,1,1,True
269,str_,1,1,True
270,tan,1,1,True
271,testing.assert_approx_equal,1,1,True
272,testing.assert_array_less,1,1,True
273,testing.assert_no_warnings,1,1,True
274,tril_indices,1,1,True
275,uint16,1,1,True
276,uint64,1,1,True
277,unpackbits,1,1,True
278,unravel_index,1,1,True
