,index,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
0,0,nan,7123.0,4877.0,True,nan,numpy.nan,https://numpy.org/doc/stable/reference/generated/numpy.nan.html,,,,False
1,350,array,1823.0,779.0,True,array,numpy.array,https://numpy.org/doc/stable/reference/generated/numpy.array.html,arkouda.pdarraycreation.array,pdarraycreation.array,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.array,True
2,351,zeros,1287.0,656.0,True,zeros,numpy.zeros,https://numpy.org/doc/stable/reference/generated/numpy.zeros.html,arkouda.pdarraycreation.zeros,pdarraycreation.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros,True
3,352,zeros,1287.0,656.0,True,zeros,numpy.zeros,https://numpy.org/doc/stable/reference/generated/numpy.zeros.html,arkouda.array_api._creation_functions.zeros,array_api._creation_functions.zeros,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros,True
4,353,asarray,952.0,575.0,True,asarray,numpy.asarray,https://numpy.org/doc/stable/reference/generated/numpy.asarray.html,arkouda.array_api._creation_functions.asarray,array_api._creation_functions.asarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.asarray,True
5,354,arange,987.0,566.0,True,arange,numpy.arange,https://numpy.org/doc/stable/reference/generated/numpy.arange.html,arkouda.pdarraycreation.arange,pdarraycreation.arange,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.arange,True
6,355,arange,987.0,566.0,True,arange,numpy.arange,https://numpy.org/doc/stable/reference/generated/numpy.arange.html,arkouda.array_api._creation_functions.arange,array_api._creation_functions.arange,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.arange,True
7,356,dot,1098.0,514.0,True,dot,numpy.dot,https://numpy.org/doc/stable/reference/generated/numpy.dot.html,,,,False
8,357,sqrt,754.0,458.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.pdarrayclass.sqrt,pdarrayclass.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sqrt,True
9,358,sqrt,754.0,458.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.array_api._elementwise_functions.sqrt,array_api._elementwise_functions.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sqrt,True
10,359,ones,726.0,444.0,True,ones,numpy.ones,https://numpy.org/doc/stable/reference/generated/numpy.ones.html,arkouda.pdarraycreation.ones,pdarraycreation.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones,True
11,360,ones,726.0,444.0,True,ones,numpy.ones,https://numpy.org/doc/stable/reference/generated/numpy.ones.html,arkouda.array_api._creation_functions.ones,array_api._creation_functions.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones,True
12,361,log,725.0,375.0,True,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.numeric.log,numeric.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log,True
13,362,log,725.0,375.0,True,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.array_api._elementwise_functions.log,array_api._elementwise_functions.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log,True
14,363,random.seed,444.0,340.0,True,seed,numpy.random.seed,https://numpy.org/doc/stable/reference/generated/numpy.random.seed.html,,,,False
15,364,r_,667.0,303.0,True,r_,numpy.r_,https://numpy.org/doc/stable/reference/generated/numpy.r_.html,,,,False
16,365,random.normal,672.0,298.0,True,normal,numpy.random.normal,https://numpy.org/doc/stable/reference/generated/numpy.random.normal.html,,,,False
17,366,exp,492.0,282.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.numeric.exp,numeric.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.exp,True
18,367,exp,492.0,282.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.array_api._elementwise_functions.exp,array_api._elementwise_functions.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.exp,True
