statsmodels_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/__init__.py_test,1.0,0,0,[],[]
/base/_constraints.py___getitem__,1.0,0,0,[],[]
/base/_constraints.py___init__,0.29,7,2,"['atleast_2d' 'linalg.solve' 'linalg.eigh' 'linalg.pinv'
 'linalg.LinAlgError' 'eye' 'asarray']","['array_api._creation_functions.eye'
 'array_api._creation_functions.asarray']"
/base/_constraints.py___iter__,1.0,0,0,[],[]
/base/_constraints.py___str__,1.0,0,0,[],[]
/base/_constraints.py_expand,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/_constraints.py_fit_constrained,1.0,0,0,[],[]
/base/_constraints.py_fit_constrained_wrap,1.0,0,0,[],[]
/base/_constraints.py_from_patsy,1.0,0,0,[],[]
/base/_constraints.py_prod_string,0.0,1,0,['abs'],[]
/base/_constraints.py_reduce,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/_constraints.py_transform_params_constraint,0.0,1,0,['linalg.solve'],[]
/base/_parameter_inference.py__lm_robust,0.0,2,0,['linalg.matrix_rank' 'linalg.solve'],[]
/base/_parameter_inference.py__scorehess_extra,0.78,9,7,"['ones' 'arange' 'arange' 'ones' 'zeros' 'zeros' 'eye' 'block'
 'column_stack']","['pdarraycreation.ones' 'pdarraycreation.arange'
 'array_api._creation_functions.arange'
 'array_api._creation_functions.ones' 'pdarraycreation.zeros'
 'array_api._creation_functions.zeros' 'array_api._creation_functions.eye']"
/base/_parameter_inference.py_gbic,0.5,4,2,['log' 'log' 'trace' 'linalg.slogdet'],['numeric.log' 'array_api._elementwise_functions.log']
/base/_parameter_inference.py_im_ratio,0.0,1,0,['linalg.inv'],[]
/base/_parameter_inference.py_score_test,0.45,11,5,"['diag' 'abs' 'linalg.inv' 'eye' 'linalg.solve' 'sqrt' 'sqrt' 'cov'
 'asarray' 'dot' 'column_stack']","['array_api._creation_functions.eye'
 'array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt'
 'pdarrayclass.cov' 'array_api._creation_functions.asarray']"
/base/_parameter_inference.py_tic,0.0,1,0,['trace'],[]
/base/_penalized.py___init__,1.0,0,0,[],[]
/base/_penalized.py__handle_scale,1.0,0,0,[],[]
/base/_penalized.py_fit,0.5,2,1,['abs' 'nonzero'],['array_api._searching_functions.nonzero']
/base/_penalized.py_hessian,0.0,1,0,['diag'],[]
/base/_penalized.py_hessian_numdiff,1.0,0,0,[],[]
/base/_penalized.py_loglike,1.0,0,0,[],[]
/base/_penalized.py_loglikeobs,1.0,0,0,[],[]
/base/_penalized.py_score,1.0,0,0,[],[]
/base/_penalized.py_score_numdiff,1.0,0,0,[],[]
/base/_penalized.py_score_obs,1.0,0,0,[],[]
/base/_penalties.py___init__,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/_penalties.py__null_weights,0.0,1,0,['size'],[]
/base/_penalties.py_deriv,0.58,12,7,"['diag' 'sqrt' 'sqrt' 'empty' 'size' 'sign' 'atleast_1d' 'abs'
 'tril_indices' 'zeros' 'sign' 'zeros']","['pdarrayclass.sqrt' 'array_api._elementwise_functions.sqrt'
 'array_api._creation_functions.empty' 'numeric.sign'
 'array_api._creation_functions.zeros'
 'array_api._elementwise_functions.sign' 'pdarraycreation.zeros']"
/base/_penalties.py_deriv2,0.56,9,5,['atleast_1d' 'zeros' 'size' 'power' 'zeros' 'ones' 'abs' 'ones' 'diag'],"['array_api._creation_functions.zeros' 'pdarrayclass.power'
 'pdarraycreation.zeros' 'array_api._creation_functions.ones'
 'pdarraycreation.ones']"
/base/_penalties.py_func,0.56,16,9,"['inf' 'sqrt' 'sqrt' 'zeros' 'zeros' 'linalg.LinAlgError' 'diag' 'sum'
 'empty' 'abs' 'size' 'sum' 'log' 'linalg.cholesky' 'log' 'atleast_1d']","['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt'
 'pdarraycreation.zeros' 'array_api._creation_functions.zeros'
 'array_api._statistical_functions.sum'
 'array_api._creation_functions.empty' 'pdarrayclass.sum'
 'array_api._elementwise_functions.log' 'numeric.log']"
/base/_prediction_inference.py___init__,1.0,0,0,[],[]
/base/_prediction_inference.py__conf_int_generic,0.0,1,0,['column_stack'],[]
/base/_prediction_inference.py__get_exog_predict,0.5,2,1,['asarray' 'atleast_2d'],['array_api._creation_functions.asarray']
/base/_prediction_inference.py_conf_int,0.67,3,2,['column_stack' 'linspace' 'linspace'],['array_api._creation_functions.linspace' 'pdarraycreation.linspace']
/base/_prediction_inference.py_f_pred,1.0,0,0,[],[]
/base/_prediction_inference.py_get_prediction,1.0,2,2,['arange' 'arange'],['array_api._creation_functions.arange' 'pdarraycreation.arange']
/base/_prediction_inference.py_get_prediction_delta,1.0,1,1,['array'],['pdarraycreation.array']
/base/_prediction_inference.py_get_prediction_glm,0.0,1,0,['dot'],[]
/base/_prediction_inference.py_get_prediction_linear,0.67,3,2,['arange' 'arange' 'dot'],['array_api._creation_functions.arange' 'pdarraycreation.arange']
/base/_prediction_inference.py_get_prediction_monotonic,0.67,3,2,['dot' 'sqrt' 'sqrt'],['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt']
/base/_prediction_inference.py_params_transform_univariate,0.5,2,1,['diag' 'asarray'],['array_api._creation_functions.asarray']
/base/_prediction_inference.py_predicted_mean,1.0,0,0,[],[]
/base/_prediction_inference.py_se,1.0,2,2,['sqrt' 'sqrt'],['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt']
/base/_prediction_inference.py_se_mean,1.0,0,0,[],[]
/base/_prediction_inference.py_summary_frame,1.0,0,0,[],[]
/base/_prediction_inference.py_t_test,0.0,1,0,['abs'],[]
/base/_prediction_inference.py_tvalues,1.0,0,0,[],[]
/base/_prediction_inference.py_var_pred_mean,1.0,0,0,[],[]
/base/_screening.py___init__,1.0,0,0,[],[]
/base/_screening.py__get_penal,1.0,0,0,[],[]
/base/_screening.py_ranking_measure,0.5,4,2,['abs' 'sqrt' 'linalg.pinv' 'sqrt'],['array_api._elementwise_functions.sqrt' 'pdarrayclass.sqrt']
/base/_screening.py_screen_exog,0.82,17,14,"['concatenate' 'logical_and' 'arange' 'bool_' 'concatenate' 'column_stack'
 'nonzero' 'sort' 'sort' 'ones' 'arange' 'ones' 'all' 'abs' 'all' 'zeros'
 'zeros']","['pdarraysetops.concatenate'
 'array_api._elementwise_functions.logical_and' 'pdarraycreation.arange'
 'util.concatenate' 'array_api._searching_functions.nonzero'
 'array_api._sorting_functions.sort' 'sorting.sort' 'pdarraycreation.ones'
 'array_api._creation_functions.arange'
 'array_api._creation_functions.ones' 'pdarrayclass.all'
 'array_api._utility_functions.all' 'array_api._creation_functions.zeros'
 'pdarraycreation.zeros']"
/base/_screening.py_screen_exog_iterator,0.5,2,1,['array' 'column_stack'],['pdarraycreation.array']
/base/covtype.py_get_robustcov_results,1.0,4,4,['unique' 'nonzero' 'unique' 'asarray'],"['categorical.Categorical.unique' 'array_api._searching_functions.nonzero'
 'groupbyclass.unique' 'array_api._creation_functions.asarray']"
/base/covtype.py_normalize_cov_type,1.0,0,0,[],[]
/base/data.py___getstate__,1.0,0,0,[],[]
/base/data.py___init__,1.0,0,0,[],[]
/base/data.py___setstate__,1.0,0,0,[],[]
/base/data.py__asarray_2d_null_rows,1.0,3,3,['any' 'asarray' 'any'],"['array_api._utility_functions.any'
 'array_api._creation_functions.asarray' 'pdarrayclass.any']"
/base/data.py__asarray_2dcolumns,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/data.py__check_integrity,1.0,0,0,[],[]
/base/data.py__convert_endog_exog,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/data.py__drop_nans,1.0,0,0,[],[]
/base/data.py__drop_nans_2d,1.0,0,0,[],[]
/base/data.py__get_names,1.0,0,0,[],[]
/base/data.py__get_row_labels,1.0,0,0,[],[]
/base/data.py__get_xarr,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
/base/data.py__get_yarr,1.0,1,1,['asarray'],['array_api._creation_functions.asarray']
