,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels
0,nan,7123,4877,True
1,array,1823,779,True
2,zeros,1287,656,True
3,asarray,952,575,True
4,arange,987,566,True
5,dot,1098,514,True
6,sqrt,754,458,True
7,ones,726,444,True
8,log,725,375,True
9,random.seed,444,340,True
10,r_,667,303,True
11,random.normal,672,298,True
12,exp,492,282,True
13,sum,442,253,True
14,eye,457,245,True
15,abs,340,228,True
16,diag,305,181,True
17,column_stack,248,166,True
18,concatenate,253,160,True
19,pi,176,114,True
20,float64,156,112,True
21,isnan,168,111,True
22,inf,187,106,True
23,empty,172,104,True
24,squeeze,140,100,True
25,ndarray,138,98,True
26,linalg.inv,128,97,True
27,linspace,130,94,True
28,c_,158,91,True
29,random.randn,172,90,True
30,any,116,89,True
31,random.randint,135,88,True
32,kron,159,86,True
33,random.uniform,114,81,True
34,mean,104,77,True
35,random.RandomState,81,76,True
36,linalg.solve,107,72,True
37,cumsum,120,69,True
38,unique,89,69,True
39,all,102,68,True
40,linalg.pinv,96,68,True
41,diff,89,65,True
42,ones_like,77,63,True
43,random.standard_normal,86,61,True
44,max,77,60,True
45,linalg.cholesky,63,59,True
46,zeros_like,75,58,True
47,atleast_1d,83,55,True
48,clip,81,53,True
49,size,87,51,True
50,sort,64,50,True
51,hstack,81,49,True
52,reshape,79,47,True
53,outer,68,47,True
54,power,65,47,True
55,argsort,61,46,True
56,flatnonzero,60,46,True
57,where,61,45,True
58,maximum,62,44,True
59,newaxis,65,41,True
60,sin,61,40,True
61,random.poisson,54,39,True
62,atleast_2d,55,38,True
63,linalg.matrix_rank,47,38,True
64,s_,55,36,True
65,vstack,46,35,True
66,isscalar,40,35,True
67,repeat,58,34,True
68,linalg.LinAlgError,38,33,True
69,allclose,50,31,True
70,bincount,48,30,True
71,isfinite,47,30,True
72,asfortranarray,49,29,True
73,std,39,29,True
74,int32,53,27,True
75,var,32,26,True
76,nonzero,42,25,True
77,asanyarray,38,25,True
78,shape,38,25,True
79,min,36,25,True
80,median,34,25,True
81,tile,28,24,True
82,cov,27,24,True
83,testing.assert_equal,84,23,True
84,random.rand,36,23,True
85,ix_,33,23,True
86,linalg.svd,26,23,True
87,triu_indices,24,23,True
88,cos,35,22,True
89,ceil,28,21,True
90,integer,27,21,True
91,random.random,102,20,True
92,round,35,20,True
93,floor,30,18,True
94,identity,23,18,True
95,linalg.det,37,17,True
96,transpose,24,17,True
97,copy,22,17,True
98,corrcoef,20,17,True
99,trace,19,17,True
100,finfo,24,16,True
101,diag_indices,23,16,True
102,percentile,22,16,True
103,tril_indices,19,16,True
104,testing.assert_array_equal,48,15,True
105,append,22,14,True
106,prod,18,14,True
107,searchsorted,17,14,True
108,ravel,16,14,True
109,promote_types,15,14,True
110,require,30,13,True
111,linalg.lstsq,16,13,True
112,linalg.slogdet,17,12,True
113,double,12,12,True
114,testing.assert_almost_equal,142,11,True
115,int64,17,11,True
116,issubdtype,15,11,True
117,linalg.norm,15,11,True
118,random,13,11,True
119,diagonal,12,11,True
120,genfromtxt,12,11,True
121,ndim,12,11,True
122,argmax,11,11,True
123,testing.assert_allclose,20,10,True
124,sign,17,10,True
125,minimum,13,10,True
126,fill_diagonal,12,10,True
127,full_like,12,10,True
128,dtype,11,10,True
129,e,10,10,True
130,random.binomial,13,9,True
131,ascontiguousarray,15,8,True
132,random.multivariate_normal,12,8,True
133,nanmean,11,8,True
134,divide,10,8,True
135,full,10,8,True
136,linalg.eigh,10,8,True
137,linalg.eigvals,10,8,True
138,inner,9,8,True
139,linalg.qr,9,8,True
140,logical_or,9,8,True
141,ptp,9,8,True
142,array_split,8,8,True
143,linalg.eig,8,8,True
144,subtract.outer,8,8,True
145,loadtxt,12,7,True
146,logical_not,12,7,True
147,delete,10,7,True
148,linalg.eigvalsh,10,7,True
149,fabs,8,7,True
150,equal,7,7,True
151,polynomial.Polynomial,15,6,True
152,matmul,11,6,True
153,meshgrid,9,6,True
154,empty_like,8,6,True
155,isinf,8,6,True
156,take,8,6,True
157,errstate,7,6,True
158,isneginf,7,6,True
159,log10,7,6,True
160,logical_and,7,6,True
161,random.gamma,7,6,True
162,array_equal,6,6,True
163,random.Generator,6,6,True
164,roots,6,6,True
165,tril_indices_from,6,6,True
166,testing.assert_,18,5,True
167,einsum,9,5,True
168,nansum,9,5,True
169,argmin,8,5,True
170,multiply,8,5,True
171,arcsin,7,5,True
172,complex128,7,5,True
173,product,7,5,True
174,bool_,6,5,True
175,correlate,6,5,True
176,int_,6,5,True
177,matrix,6,5,True
178,random.default_rng,6,5,True
179,random.shuffle,6,5,True
180,vander,6,5,True
181,cumprod,5,5,True
182,histogramdd,5,5,True
183,split,5,5,True
184,choose,7,4,True
185,expm1,7,4,True
186,apply_along_axis,6,4,True
187,float32,6,4,True
188,log2,6,4,True
189,arctan2,5,4,True
190,log1p,5,4,True
191,nan_to_num,5,4,True
192,random.beta,4,4,True
193,trunc,4,4,True
194,less_equal,11,3,True
195,polymul,6,3,True
196,complex,5,3,True
197,complex64,4,3,True
198,int8,4,3,True
199,isclose,4,3,True
200,isposinf,4,3,True
201,ma.array,4,3,True
202,roll,4,3,True
203,absolute,3,3,True
204,diag_indices_from,3,3,True
205,fliplr,3,3,True
206,pad,3,3,True
207,random.permutation,3,3,True
208,real_if_close,3,3,True
209,subtract.reduce,3,3,True
210,testing.assert_raises,3,3,True
211,unravel_index,3,3,True
212,vsplit,10,2,True
213,expand_dims,4,2,True
214,inexact,4,2,True
215,set_printoptions,4,2,True
216,digitize,3,2,True
217,histogram,3,2,True
218,interp,3,2,True
219,lexsort,3,2,True
220,linalg.cond,3,2,True
221,nanpercentile,3,2,True
222,nextafter,3,2,True
223,quantile,3,2,True
224,random.exponential,3,2,True
225,random.get_state,3,2,True
226,rollaxis,3,2,True
227,str_,3,2,True
228,subtract,3,2,True
229,add.outer,2,2,True
230,add.reduce,2,2,True
231,arctan,2,2,True
232,average,2,2,True
233,block,2,2,True
234,dstack,2,2,True
235,imag,2,2,True
236,isin,2,2,True
237,iterable,2,2,True
238,less,2,2,True
239,ma.MaskedArray,2,2,True
240,minimum.outer,2,2,True
241,multiply.outer,2,2,True
242,negative,2,2,True
243,random.choice,2,2,True
