np_calls,num_scipy_funs_used_by,total_np_calls
array,331,4261
arange,229,1265
zeros,221,1065
asarray,200,1033
inf,149,1469
float64,144,544
ones,139,614
empty,123,469
sqrt,122,633
linspace,119,850
nan,108,1325
pi,103,855
abs,103,595
sum,101,454
exp,95,637
random.seed,94,546
random.default_rng,94,435
dot,93,435
all,90,328
sin,89,279
isnan,79,374
eye,77,351
cos,75,221
any,75,199
concatenate,72,232
errstate,68,208
max,68,155
float32,64,292
ndarray,64,262
allclose,64,203
random.rand,63,480
issubdtype,63,188
vstack,62,147
diag,61,251
linalg.norm,61,146
zeros_like,61,110
log,58,506
finfo,58,185
full,57,215
isfinite,57,203
hstack,55,149
newaxis,54,266
dtype,53,129
diff,51,112
random.RandomState,50,187
int64,49,149
atleast_1d,48,113
atleast_2d,45,86
int32,44,147
complex128,44,119
unique,43,65
sort,42,158
random.randn,40,286
mean,40,172
prod,40,88
ones_like,39,62
where,37,119
empty_like,36,62
random.random,35,159
min,35,75
r_,33,126
real,32,83
nonzero,32,51
maximum,31,79
broadcast_to,30,73
argsort,30,57
complex64,29,134
complexfloating,29,63
moveaxis,28,86
copy,28,67
intp,27,75
sign,27,71
iscomplexobj,27,61
argmax,27,42
broadcast_arrays,26,63
log10,25,104
power,25,89
isinf,24,65
isscalar,24,65
clip,24,56
round,24,45
reshape,24,36
identity,23,88
result_type,23,52
cumsum,23,43
shape,22,94
integer,22,44
floor,22,30
logspace,20,82
meshgrid,20,50
argmin,20,29
random.randint,19,63
uint8,19,43
bool_,19,41
ceil,19,31
repeat,18,62
size,18,43
random,18,42
ravel,18,31
minimum,18,30
conj,17,56
std,17,44
nextafter,17,42
int8,16,66
tile,16,59
full_like,16,29
iinfo,16,29
squeeze,16,23
append,16,21
int16,15,45
floating,15,29
asanyarray,15,27
count_nonzero,15,21
testing.assert_allclose,14,49
amax,14,21
inexact,14,19
triu,13,57
ascontiguousarray,13,41
median,13,34
tril,13,31
linalg.solve,13,19
random.uniform,12,40
matrix,12,35
float16,12,32
number,12,31
searchsorted,12,31
c_,12,28
spacing,12,28
isclose,12,23
uint16,12,18
imag,11,62
delete,11,48
einsum,11,28
linalg.matrix_rank,11,28
uint64,11,18
arctan2,11,16
array_equal,10,78
random.normal,10,44
square,10,29
take,10,28
polyval,10,26
expand_dims,10,22
roll,10,22
intc,10,19
resize,10,18
load,10,17
mgrid,10,16
amin,10,14
uint32,10,10
tan,9,42
column_stack,9,32
log1p,9,32
outer,9,29
arctan,9,26
poly1d,9,22
stack,9,21
convolve,9,20
equal,9,19
var,9,19
isrealobj,9,17
asarray_chkfinite,9,15
ndim,9,14
testing.assert_equal,9,14
angle,8,53
logical_and,8,48
object_,8,33
vectorize,8,31
multiply,8,28
dstack,8,21
testing.suppress_warnings,8,19
pad,8,17
logical_not,8,16
absolute,8,15
log2,8,14
apply_along_axis,8,12
insert,7,46
ma.array,7,32
asfortranarray,7,29
swapaxes,7,27
cosh,7,17
random.shuffle,7,15
random.Generator,7,14
longdouble,7,13
transpose,7,13
linalg.inv,7,11
bincount,7,10
fill_diagonal,7,9
flip,7,9
unravel_index,7,9
ma.masked_array,6,29
can_cast,6,18
cov,6,18
promote_types,6,14
ptp,6,13
e,6,12
isposinf,6,12
sinh,6,12
less,6,11
percentile,6,11
clongdouble,6,10
expm1,6,10
isneginf,6,10
linalg.LinAlgError,6,10
histogram,6,9
hypot,6,8
set_printoptions,6,8
around,6,7
linalg.lstsq,6,7
linalg.svd,6,7
arccos,6,6
extract,5,15
linalg.det,5,15
linalg.eig,5,14
take_along_axis,5,12
matmul,5,11
split,5,11
unwrap,5,11
frombuffer,5,10
average,5,9
cumprod,5,9
kron,5,9
nditer,5,9
loadtxt,5,8
random.permutation,5,8
roots,5,8
interp,5,6
ix_,5,5
random.choice,5,5
testing.assert_array_equal,4,22
isreal,4,18
logical_or,4,16
linalg.cholesky,4,9
iterable,4,8
place,4,8
may_share_memory,4,7
block,4,6
inf.,4,6
less_equal,4,6
lexsort,4,6
vander,4,6
signedinteger,4,5
cdouble,4,4
flatnonzero,4,4
ma.isMaskedArray,4,4
float_power,3,36
poly,3,15
iscomplex,3,11
linalg.matrix_power,3,11
tril_indices,3,11
arcsinh,3,10
s_,3,10
trace,3,10
diagonal,3,8
linalg.slogdet,3,8
polymul,3,8
typecodes,3,8
tanh,3,7
divide,3,6
arctanh,3,5
cross,3,5
fabs,3,5
fft.fft,3,5
flipud,3,5
float128,3,5
linalg.qr,3,5
ma.MaskedArray,3,5
ma.masked_where,3,5
nanmax,3,5
nanmin,3,5
random.exponential,3,5
correlate,3,4
mod,3,4
ravel_multi_index,3,4
rot90,3,4
savetxt,3,4
,3,3
add.reduce,3,3
broadcast,3,3
bytes_,3,3
common_type,3,3
fft.irfft,3,3
generic,3,3
ndenumerate,3,3
polyfit,3,3
random.random_sample,2,22
choose,2,11
testing.assert_array_less,2,8
arccosh,2,7
random.chisquare,2,7
random.pareto,2,7
trim_zeros,2,7
greater,2,6
isin,2,6
true_divide,2,6
add,2,4
corrcoef,2,4
deg2rad,2,4
exp2,2,4
fromiter,2,4
fromstring,2,4
indices,2,4
linalg.cond,2,4
printoptions,2,4
random.multivariate_normal,2,4
seterr,2,4
signbit,2,4
conjugate,2,3
diag_indices,2,3
ldexp,2,3
linalg.eigh,2,3
min_scalar_type,2,3
ndindex,2,3
not_equal,2,3
rad2deg,2,3
sinc,2,3
ufunc,2,3
copysign,2,2
fmax,2,2
frexp,2,2
lib.stride_tricks.as_strided,2,2
ma.asarray,2,2
ma.masked_greater,2,2
nan_to_num,2,2
ogrid,2,2
put_along_axis,2,2
savez_compressed,2,2
select,2,2
str_,2,2
tensordot,2,2
unsignedinteger,2,2
void,2,2
polynomial.Polynomial,1,10
euler_gamma,1,8
array.,1,6
union1d,1,5
array_repr,1,4
complex256,1,4
fft.fftfreq,1,4
fft.fftshift,1,4
float96,1,4
fmod,1,4
isfortran,1,4
ndarray.tolist,1,4
polydiv,1,4
radians,1,4
rec.fromarrays,1,4
vdot,1,4
apply_along_axis.,1,3
arcsin,1,3
cbrt,1,3
datetime64,1,3
diagflat,1,3
inner,1,3
interval,1,3
ma.masked_all,1,3
ndnarray,1,3
npy_intp,1,3
partition,1,3
random.binomial,1,3
random.dirichlet,1,3
typing.ArrayLike,1,3
PyUFuncGenericFunction,1,2
compress,1,2
diag_indices_from,1,2
fft.ifftshift,1,2
float64.,1,2
histogram2d,1,2
histogramdd,1,2
int_,1,2
ma.getmask,1,2
ma.is_masked,1,2
ma.masked_invalid,1,2
ma.nomask,1,2
ma.nonzero,1,2
ma.var,1,2
polyadd,1,2
random.MT19937,1,2
random.mtrand._rand,1,2
rec.recarray,1,2
require,1,2
triu_indices_from,1,2
uint,1,2
PyUFunc_FromFuncAndData,1,1
__version__,1,1
__version__.startswith,1,1
add.at,1,1
add.reduceat,1,1
apply_over_axes,1,1
argwhere,1,1
array2string,1,1
atleast_3d,1,1
bitwise_and,1,1
bitwise_or,1,1
broadcast_shapes,1,1
digitize,1,1
divmod,1,1
double,1,1
fft,1,1
fft.ifft,1,1
fft.rfft,1,1
fft.rfftfreq,1,1
fliplr,1,1
float,1,1
fmin,1,1
format_float_scientific,1,1
fromfile,1,1
genfromtxt,1,1
geomspace,1,1
geterr,1,1
half,1,1
int64.,1,1
intersect1d,1,1
invert,1,1
lcm,1,1
linalg.eigvals,1,1
linalg.pinv,1,1
logical_and.reduce,1,1
logical_or.reduce,1,1
longlong,1,1
ma.count,1,1
ma.getmaskarray,1,1
ma.masked,1,1
ma.masked_equal,1,1
ma.where,1,1
median.,1,1
min.,1,1
minimum.accumulate,1,1
multiply.reduce,1,1
nanpercentile,1,1
nanstd.,1,1
nansum,1,1
nanvar,1,1
nextafter.reduce,1,1
poly1d.__call__,1,1
polysub,1,1
quantile,1,1
random.PCG64,1,1
random.lognormal,1,1
random.rayleigh,1,1
random.standard_cauchy,1,1
random.standard_normal,1,1
record,1,1
remainder,1,1
rint,1,1
savez,1,1
setdiff1d,1,1
subtract,1,1
testing.assert_,1,1
testing.assert_almost_equal,1,1
testing.assert_warns,1,1
tri,1,1
tril_indices_from,1,1
ubyte,1,1
uintp,1,1
